fold_id,train_start,train_end,test_start,test_end,initial_state,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak,LONG_trades,SHORT_trades,USDRUBF_trades,CNYRUBF_trades,positive_fold
WF01,2023-01-03T09:15:00+03:00,2024-02-01T00:00:00+03:00,2024-02-01T00:00:00+03:00,2024-05-01T00:00:00+03:00,FLAT,50,0.554983728609,-0.283504225287,-14.1752112644,-18.1577050682,-0.780671963284,0.26,-0.783529926445,12,2,32,18,23,27,False
WF02,2023-01-03T09:15:00+03:00,2024-05-01T00:00:00+03:00,2024-05-01T00:00:00+03:00,2024-08-01T00:00:00+03:00,FLAT,57,0.918454185347,-0.0492909480421,-2.8095840384,-15.7857251392,-0.177982576894,0.298245614035,-0.87023812123,10,4,14,43,30,27,False
WF03,2023-01-03T09:15:00+03:00,2024-08-01T00:00:00+03:00,2024-08-01T00:00:00+03:00,2024-11-01T00:00:00+03:00,FLAT,53,1.39484715455,0.192730959566,10.214740857,-8.28753810725,1.23254224895,0.377358490566,-0.407716423341,5,3,39,14,30,23,True
