configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,Si_trades,Si_PF_C1,Si_expectancy_C1,Si_net_R_C1,Si_max_DD_C1,Si_recovery_factor_C1,Si_win_rate_C1,CNY_trades,CNY_PF_C1,CNY_expectancy_C1,CNY_net_R_C1,CNY_max_DD_C1,CNY_recovery_factor_C1,CNY_win_rate_C1,2023_trades,2023_PF_C1,2023_expectancy_C1,2023_net_R_C1,2023_max_DD_C1,2023_recovery_factor_C1,2023_win_rate_C1,2024_trades,2024_PF_C1,2024_expectancy_C1,2024_net_R_C1,2024_max_DD_C1,2024_recovery_factor_C1,2024_win_rate_C1,LONG_trades,LONG_PF_C1,LONG_expectancy_C1,LONG_net_R_C1,LONG_max_DD_C1,LONG_recovery_factor_C1,LONG_win_rate_C1,SHORT_trades,SHORT_PF_C1,SHORT_expectancy_C1,SHORT_net_R_C1,SHORT_max_DD_C1,SHORT_recovery_factor_C1,SHORT_win_rate_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,expectancy_C1_without_top3,net_R_without_top5,expectancy_C1_without_top5,PF_C1_without_best_trade,PF_C1_without_top3,PF_C1_without_top5
T3-H4-0000-eb17737ebf56,28,2.36543748398,0.574926328904,16.0979372093,-5.05723815129,3.18314794117,0.5,15,2.17471284037,0.518470962333,7.77706443499,-3.06614890733,2.53642750892,0.466666666667,13,2.60970665013,0.640067136486,8.32087277432,-2.81064458583,2.96048558265,0.538461538462,14,1.48211115576,0.172990659653,2.42186923515,-2.01222595642,1.20357717652,0.642857142857,14,3.0212584184,0.976861998155,13.6760679742,-3.13630156446,4.3605717413,0.357142857143,17,6.15443343194,1.33025035168,22.6142559785,-2.01663459851,11.2138589685,0.705882352941,11,0.119683004621,-0.592392615385,-6.51631876923,-7.06721789175,-0.922048657484,0.181818181818,0.314218042796,0.701254954622,0.813078658736,0.953393327539,7.33517549893,0.271673166627,-3.45832382171,-0.138332952868,-6.57680952038,-0.285948240017,1.62217434741,0.70666272849,0.442150747181
T3-H4-0001-e79c6ccdc36c,21,3.22737283242,1.0539133454,22.1321802534,-4.98479006144,4.4399423006,0.47619047619,12,2.99046556196,0.99144769654,11.8973723585,-4.42503104895,2.68865285393,0.5,9,3.5850240115,1.13720087722,10.2348078949,-2.83898437133,3.60509483543,0.444444444444,13,1.07748899735,0.0466295437072,0.606184068194,-3.98260560971,0.152207907988,0.384615384615,8,11.1844686251,2.69074952315,21.5259961852,-1.00218445172,21.4790761802,0.625,12,8.13259942574,2.27903524119,27.3484228943,-1.01125978352,27.0439142739,0.666666666667,9,0.145181661963,-0.579582515655,-5.21624264089,-5.99258535017,-0.87044945313,0.222222222222,0.340800333812,0.709530878192,0.863103634234,1,11.2031801328,0.560159006642,-0.621503601842,-0.0345279778801,-5.54637163389,-0.346648227118,2.1274830938,0.93745215238,0.44181561173
T3-H4-0002-d9ba4217a7c3,35,1.4830666829,0.25875927438,9.05657460332,-8.06314189904,1.1232066503,0.371428571429,20,1.55584006307,0.284898769994,5.69797539988,-3.77520526752,1.50931538714,0.4,15,1.39526986161,0.223906613562,3.35859920344,-5.78900710461,0.580168436961,0.333333333333,16,0.70944485791,-0.152270120719,-2.43632193151,-3.34000080385,-0.729437528489,0.4375,19,2.10902912728,0.604889291307,11.4928965348,-5.96184331779,1.92774212977,0.315789473684,23,2.67726513629,0.733224826897,16.8641710186,-2.82108229028,5.97790822223,0.478260869565,12,0.101906084772,-0.65063303461,-7.80759641532,-7.80759641532,-1,0.166666666667,0.315154446963,0.698385791032,0.817228200886,0.96335810879,0.293812892936,0.00864155567458,-10.3618036798,-0.323806364994,-13.6661762777,-0.455539209256,1.01567162264,0.447313984408,0.271062765839
T3-H4-0003-9b1e60957d91,25,2.24830622691,0.584987026212,14.6246756553,-5.18579878022,2.82013943755,0.44,12,2.69462414687,0.759108537565,9.10930245078,-2.82241492665,3.22748521656,0.5,13,1.86990473145,0.424259477271,5.51537320452,-4.12545469731,1.33691280336,0.384615384615,11,1.30123894856,0.127031058516,1.39734164368,-2.01222595642,0.694425811982,0.545454545455,14,2.86906827312,0.944809572259,13.2273340116,-3.50859617406,3.76997903305,0.357142857143,16,4.23357292671,1.21511661867,19.4418658987,-2.01663459851,9.64074796353,0.5625,9,0.155340165426,-0.53524336038,-4.81719024342,-4.81719024342,-1,0.222222222222,0.33267520439,0.737211986105,0.873558621183,0.988681937571,5.86191394492,0.244246414372,-4.79370262782,-0.217895573992,-8.38511268013,-0.419255634007,1.50035049334,0.590827927997,0.284278939334
T3-H4-0004-ef25bc83a9b8,21,2.25413534881,0.602705512447,12.6568157614,-5.18741052812,2.43991018115,0.428571428571,10,2.02650600842,0.551789239848,5.51789239848,-2.82241492665,1.9550252326,0.4,11,2.51355686545,0.648993032993,7.13892336292,-3.36684152906,2.12036215584,0.454545454545,7,0.810779564641,-0.0815026071755,-0.570518250229,-2.01383770433,-0.28329902107,0.571428571429,14,2.86906827312,0.944809572259,13.2273340116,-3.50859617406,3.76997903305,0.357142857143,13,4.04895220085,1.26640770671,16.4633001873,-2.01663459851,8.16374974398,0.538461538462,8,0.188799158281,-0.475810553233,-3.80648442586,-3.80648442586,-1,0.25,0.385195285403,0.853597074992,0.92303535885,1,3.89405405102,0.194702702551,-6.76156252173,-0.375642362318,-8.34120577823,-0.52132536114,1.38585303979,0.330012008429,0.173488718224
T3-H4-0005-6e0dd817f5a7,16,2.61090659584,0.813383608427,13.0141377348,-4.17537226525,3.11688082118,0.375,7,2.12911405715,0.705604375991,4.93923063194,-2.82269422924,1.74982843723,0.285714285714,9,3.17985278228,0.897211900322,8.0749071029,-2.68954731385,3.00232944827,0.444444444444,2,0.787186668339,-0.106598138396,-0.213196276791,-1.00179944145,-0.212813331661,0.5,14,2.86906827312,0.944809572259,13.2273340116,-3.50859617406,3.76997903305,0.357142857143,9,4.60518156636,1.75767800243,15.8191020218,-2.01663459851,7.84430755753,0.444444444444,7,0.240029708424,-0.400709183858,-2.804964287,-3.13998763726,-0.893304245443,0.285714285714,0.415436477755,0.920611896601,0.98411677446,1,4.25137602445,0.283425068297,-6.40424054829,-0.49263388833,-7.74374283547,-0.703976621406,1.52624075592,0.207274922796,0.041469618325
T3-H4-0006-8b22fd2c7e81,28,1.9675127366,0.482467456149,13.5090887722,-4.81350417062,2.80649778069,0.428571428571,15,2.11644467156,0.549179960039,8.23769940058,-2.82241492665,2.91867057632,0.466666666667,13,1.80061349077,0.405491490121,5.27138937157,-4.36943853026,1.20642259528,0.384615384615,15,0.963330805472,-0.0181886956524,-0.272830434787,-3.05109750529,-0.0894204247204,0.466666666667,13,3.1130194705,1.0601476313,13.7819192069,-3.13630156446,4.39432207767,0.384615384615,17,3.36640604414,1.00494928518,17.0841378481,-2.01663459851,8.47160802494,0.529411764706,11,0.469833233492,-0.325004461447,-3.57504907592,-4.81350417062,-0.742712366958,0.272727272727,0.318973118811,0.7068480107,0.83963937471,0.976952922673,4.74632706178,0.175789891177,-5.90928951097,-0.236371580439,-9.55730563331,-0.415535027535,1.33992906271,0.576780272707,0.315511572707
T3-H4-0007-b8b39c21f8a1,28,2.03336307174,0.5929114805,16.601521454,-6.50940844085,2.55038865741,0.392857142857,15,1.9819862836,0.55687931496,8.3531897244,-3.00587307665,2.77895623381,0.4,13,2.09117847313,0.634487056124,8.24833172961,-4.93943880616,1.66989248239,0.384615384615,15,0.617302369878,-0.231227363783,-3.46841045675,-4.7115495104,-0.736150697153,0.4,13,3.86612216811,1.54384091621,20.0699319108,-3.48769578444,5.75449613475,0.384615384615,18,3.68331739613,1.27431082614,22.9375948706,-2.69824318979,8.500936816,0.5,10,0.157134800067,-0.633607341658,-6.33607341658,-7.07060557993,-0.89611467433,0.2,0.357659572461,0.792577626116,0.88839534913,0.987831935425,4.9178391735,0.182142191611,-9.28964959016,-0.371585983606,-12.4197317094,-0.539988335191,1.30611130484,0.421764995308,0.226932775714
T3-H4-0008-5dba2bc9137e,30,1.96289566122,0.462011125882,13.8603337765,-4.53718026979,3.05483426981,0.466666666667,15,2.16175530739,0.568994158795,8.53491238193,-2.69399887769,3.16812024408,0.466666666667,15,1.75560793208,0.355028092969,5.32542139453,-3.4532481213,1.54214849541,0.466666666667,16,0.753992079623,-0.133553933919,-2.1368629427,-4.53718026979,-0.470967168073,0.375,14,3.80245750295,1.14265690851,15.9971967192,-3.00619207484,5.32141537231,0.571428571429,20,3.41927657659,0.916028006532,18.3205601306,-2.52720052933,7.24934959374,0.55,10,0.346169541796,-0.446022635418,-4.46022635418,-5.90593143016,-0.75521133405,0.3,0.351096635887,0.674094098117,0.770065788551,0.941885444687,3.94018141856,0.135868324778,-5.18603543748,-0.192075386573,-7.89769283843,-0.315907713537,1.27372959797,0.639719280773,0.451336866019
T3-H4-0009-db103492d13d,29,1.72363040201,0.358547986744,10.3978916156,-5.19228622945,2.00256518152,0.448275862069,15,1.83498863501,0.432143394456,6.48215091684,-2.59507879846,2.49786284744,0.4,14,1.59276384264,0.279695764196,3.91574069875,-3.66392255718,1.06872911139,0.5,15,0.658121871901,-0.186063573056,-2.79095359583,-4.10393372594,-0.680067901242,0.4,14,3.1253573169,0.942060372244,13.1888452114,-3.02672180096,4.35746860092,0.5,19,3.15974851938,0.832087060094,15.8096541418,-2.09395398548,7.55014401053,0.526315789474,10,0.232257314625,-0.541176252621,-5.41176252621,-6.42353833049,-0.842489333413,0.3,0.377174213477,0.717636429154,0.813975523533,0.961166574904,1.05643458145,0.0377298064803,-7.37577802975,-0.283683770375,-9.76180411185,-0.406741837994,1.0735214608,0.486690435129,0.320637443155
T3-H4-0010-938b6b3b78f6,27,1.96268204212,0.476923494462,12.8769343505,-4.81350417062,2.67516842077,0.444444444444,14,2.25783648695,0.572914172548,8.02079841567,-2.82241492665,2.84182114399,0.5,13,1.69378911114,0.373548918063,4.85613593482,-4.78469196701,1.01493178,0.384615384615,14,0.867957162303,-0.0646417754614,-0.90498485646,-2.63556866813,-0.343373658749,0.5,13,3.1130194705,1.0601476313,13.7819192069,-3.13630156446,4.39432207767,0.384615384615,17,4.07989121642,1.1264423023,19.149519139,-2.01663459851,9.49578032294,0.588235294118,10,0.123757990379,-0.627258478856,-6.27258478856,-6.82348391108,-0.919264245407,0.2,0.333780869788,0.739662153033,0.858447862759,0.975883003731,4.11417264011,0.158237409235,-6.54144393264,-0.27256016386,-9.65992963131,-0.439087710514,1.30757632298,0.510960417125,0.277821837787
T3-H4-0011-76dd2f3526c3,27,1.65358831959,0.340548627672,9.19481294713,-6.15210055203,1.49458105721,0.444444444444,14,1.95638532298,0.449415618735,6.29181866228,-3.30662126816,1.9027938648,0.5,13,1.38761093646,0.223307252681,2.90299428485,-6.00193686228,0.483676245095,0.384615384615,14,0.687918424413,-0.157024703457,-2.1983458484,-2.68137390321,-0.819858001066,0.5,13,2.62201804305,0.876396830426,11.3931587955,-3.7378134946,3.04808113406,0.384615384615,17,3.47189626673,0.961145860977,16.3394796366,-2.01663459851,8.10235014748,0.588235294118,10,0.0420263340296,-0.714466668948,-7.14466668948,-7.41344590253,-0.963744361721,0.2,0.351805910246,0.778221813431,0.904687474332,0.996816021875,1.01074656051,0.038874867712,-8.90897325754,-0.371207219064,-11.850945903,-0.538679359225,1.07184617564,0.36672981885,0.157607679155
T3-H4-0012-82c674b1e20f,26,1.52167167569,0.302333465758,7.8606701097,-8.10689472486,0.969627752238,0.307692307692,13,1.98914140877,0.516953893161,6.72040061109,-4.09996474528,1.63913619472,0.384615384615,13,1.1378126275,0.0877130383549,1.14026949861,-7.02876489382,0.162228999808,0.230769230769,13,0.842968600005,-0.0879790980324,-1.14372827442,-3.33957043047,-0.342477662392,0.384615384615,13,2.1566646939,0.692646029548,9.00439838412,-4.76732429439,1.88877404348,0.230769230769,16,3.25164218662,0.992338668756,15.8774187001,-2.24997130013,7.05672054535,0.5,10,0,-0.80167485904,-8.0167485904,-8.0167485904,-1,0,0.331693635095,0.76816633684,0.959761405032,1,0.255299046836,0.0102119618734,-9.75254103313,-0.42402352318,-14.1456056965,-0.673600271264,1.01694286616,0.352774718701,0.0612299302322
T3-H4-0013-4dff97e36238,24,2.42293470223,0.591269904558,14.1904777094,-3.73312499884,3.80123293857,0.541666666667,13,2.25025181809,0.509971964527,6.62963553886,-2.84981682476,2.32633742676,0.538461538462,11,2.61900893581,0.687349288231,7.56084217054,-3.71007523595,2.03792152172,0.545454545455,13,0.912356727479,-0.0382276796009,-0.496959834812,-2.71888909301,-0.182780473131,0.538461538462,11,4.41375619653,1.33522159493,14.6874375442,-2.01350927451,7.29444742578,0.545454545455,15,5.29837130223,1.132799097,16.991986455,-1.00900782682,16.8402920209,0.666666666667,9,0.534599208735,-0.311278749515,-2.80150874563,-5.75154294971,-0.487088207483,0.333333333333,0.290119709499,0.652721372105,0.814600702452,0.966268809037,7.18026834109,0.312185580047,-1.58133415934,-0.0753016266352,-5.49285054717,-0.289097397219,1.71999359029,0.841433438871,0.449210391798
T3-H4-0014-a750b6d58916,23,2.68692729343,0.587747627923,13.5181954422,-2.80234452937,4.82388774847,0.565217391304,12,2.89049325973,0.61802763804,7.41633165648,-1.07354037912,6.90829315852,0.583333333333,11,2.49170094259,0.554714889613,6.10186378574,-3.29056738634,1.85435004646,0.545454545455,13,0.849600132881,-0.058705077488,-0.763166007345,-2.80234452937,-0.272331256684,0.538461538462,10,5.85883623439,1.42813614496,14.2813614496,-0.944697246447,15.1173950208,0.6,15,5.19483391316,0.939622079032,14.0943311855,-0.944697246447,14.91941597,0.666666666667,8,0.87619505554,-0.0720169679077,-0.576135743262,-4.43022730207,-0.130046542531,0.375,0.271313542435,0.610410606005,0.789406783509,0.968455335466,7.67635430197,0.348925195544,0.375018884948,0.0187509442474,-3.47907267386,-0.193281815215,1.95792753119,1.04679837596,0.565848661201
T3-H4-0015-924083b3822d,22,2.42439174846,0.670003454954,14.740076009,-2.63556866813,5.59274974969,0.454545454545,12,2.56730797082,0.702041920082,8.42450304099,-1.84032783739,4.57771863787,0.5,10,2.26992443293,0.631557296799,6.31557296799,-3.32525493384,1.89927482062,0.4,10,0.988146153852,-0.00573903451682,-0.0573903451682,-2.63556866813,-0.0217753177377,0.5,12,3.6871093762,1.23312219618,14.7974663541,-2.12075441725,6.9774539823,0.416666666667,15,3.89257903734,1.19899251293,17.9848876939,-2.01663459851,8.91826794365,0.533333333333,7,0.214470948493,-0.463544526419,-3.24481168494,-3.79571080745,-0.854862725202,0.285714285714,0.349275345404,0.773998084872,0.898297958078,1,5.9773142986,0.284634014219,-4.67830227415,-0.246226435481,-7.79678797281,-0.458634586636,1.57761148312,0.547917178173,0.246565591237
T3-H4-0016-98c3349eff3f,21,2.25479590672,0.618395815959,12.9863121351,-4.5977221352,2.82450999719,0.428571428571,11,2.24080132924,0.606430833378,6.67073916715,-2.47769339908,2.69231825441,0.454545454545,10,2.26992443293,0.631557296799,6.31557296799,-3.32525493384,1.89927482062,0.4,10,0.518770280695,-0.28119910682,-2.8119910682,-4.09193986973,-0.687202441318,0.4,11,4.50606120378,1.43620938212,15.7983032033,-2.12075441725,7.44937889782,0.454545454545,14,3.61008957415,1.15936598715,16.2311238201,-2.08196012927,7.79607812459,0.5,7,0.214470948493,-0.463544526419,-3.24481168494,-3.79571080745,-0.854862725202,0.285714285714,0.375509579155,0.832133441257,0.932733217174,1,4.22355042477,0.211177521238,-6.43206614798,-0.357337008221,-8.7796277374,-0.548726733588,1.40809844471,0.378504829529,0.151672866573
