configuration_id,neighbor_count,positive_neighbors,stable_neighbors,classification,expectancy_C1,PF_C1
T3-H4-0000-eb17737ebf56,1,1,1,LOCAL_SPIKE,0.574926328904,2.36543748398
T3-H4-0001-e79c6ccdc36c,1,1,0,LOCAL_SPIKE,1.0539133454,3.22737283242
T3-H4-0002-d9ba4217a7c3,1,1,0,LOCAL_SPIKE,0.25875927438,1.4830666829
T3-H4-0003-9b1e60957d91,2,2,2,ROBUST_PLATEAU,0.584987026212,2.24830622691
T3-H4-0004-ef25bc83a9b8,2,2,2,ROBUST_PLATEAU,0.602705512447,2.25413534881
T3-H4-0005-6e0dd817f5a7,1,1,1,LOCAL_SPIKE,0.813383608427,2.61090659584
T3-H4-0006-8b22fd2c7e81,1,1,1,LOCAL_SPIKE,0.482467456149,1.9675127366
T3-H4-0007-b8b39c21f8a1,1,1,1,LOCAL_SPIKE,0.5929114805,2.03336307174
T3-H4-0008-5dba2bc9137e,1,1,1,LOCAL_SPIKE,0.462011125882,1.96289566122
T3-H4-0009-db103492d13d,2,2,2,ROBUST_PLATEAU,0.358547986744,1.72363040201
T3-H4-0010-938b6b3b78f6,12,12,8,ROBUST_PLATEAU,0.476923494462,1.96268204212
T3-H4-0011-76dd2f3526c3,2,2,1,LOCAL_SPIKE,0.340548627672,1.65358831959
T3-H4-0012-82c674b1e20f,1,1,1,LOCAL_SPIKE,0.302333465758,1.52167167569
T3-H4-0013-4dff97e36238,2,2,2,ROBUST_PLATEAU,0.591269904558,2.42293470223
T3-H4-0014-a750b6d58916,1,1,1,LOCAL_SPIKE,0.587747627923,2.68692729343
T3-H4-0015-924083b3822d,2,2,2,ROBUST_PLATEAU,0.670003454954,2.42439174846
T3-H4-0016-98c3349eff3f,2,2,2,ROBUST_PLATEAU,0.618395815959,2.25479590672
T3-H4-0017-737e6c59a803,1,1,1,LOCAL_SPIKE,0.618395815959,2.25479590672
T3-H4-0018-ab666f9016c3,2,2,1,LOCAL_SPIKE,0.212907329787,1.44603189587
T3-H4-0019-7507864f8bc2,1,1,1,LOCAL_SPIKE,0.210720754269,1.42393893548
T3-H4-0020-816e9e819790,2,2,0,LOCAL_SPIKE,0.325894461507,1.62295255419
T3-H4-0021-0912e76c7e11,1,1,0,LOCAL_SPIKE,0.540568509186,2.19269792948
