parameter,value,configurations,positive_C1_share,mean_expectancy_C1,std_expectancy_C1
adx_threshold,15,1,1,0.431998539572,0
adx_threshold,20,16,1,0.561908741667,0.258061601877
adx_threshold,25,1,1,0.656579952906,0
adx_threshold,30,1,1,0.718782437882,0
confirmation_window,2,1,1,0.325500148271,0
confirmation_window,3,17,1,0.587466531926,0.247712466831
confirmation_window,4,1,1,0.485469606024,0
ema_fast,15,1,1,0.61542037421,0
ema_fast,20,16,1,0.60219265912,0.239015697493
ema_fast,25,1,1,0.332721233456,0
ema_fast,30,1,1,0.214676643453,0
ema_slow,150,1,1,0.584117594826,0
ema_slow,200,17,1,0.569693673373,0.255915218781
ema_slow,250,1,1,0.528990754863,0
ema_trend,40,1,1,0.580167268696,0
ema_trend,50,17,1,0.568406138914,0.256088235268
ema_trend,60,1,1,0.554829166804,0
impulse_distance_atr,0.3,1,1,0.545519480013,0
impulse_distance_atr,0.5,17,1,0.569126981273,0.256055190199
impulse_distance_atr,0.7,1,1,0.577222635375,0
max_initial_stop_atr,2,1,1,0.878562016001,0
max_initial_stop_atr,2.5,1,1,0.754333511668,0
max_initial_stop_atr,3,17,1,0.539117957021,0.23885198164
trailing_atr,2,1,1,0.181894840303,0
trailing_atr,3,17,1,0.548079190006,0.158210091458
trailing_atr,4,1,1,1.29865972663,0
