trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe_pair,net_R
T3-Si-000001,T3,Si,SHORT,2023-01-12 11:45:00+03:00,67.67,67.9703887989,0.30038879895,2023-01-13 09:15:00+03:00,67.7748261938,ATR_TRAILING_STOP,50,-348.968384232,-0.348968384232,0.28,0.12,0.932125302205,0.399482272374,-0.104826193811,-0.348968384232,3329.01893645,0,-348.968384232,0.001,300.38879895,0,T3_MTF_Trend_v1.0,0.30038879895,USDRUBF,H1_M15,-0.355626422105
T3-CNY-000001,T3,CNY,LONG,2023-01-13 20:45:00+03:00,10.26,10.1992072615,0.0607927384813,2023-01-16 09:30:00+03:00,10.2137722553,ATR_TRAILING_STOP,15,-760.415567645,-0.760415567645,0.046227744741,0.03,0.760415567645,0.493479990365,-0.046227744741,-0.760415567645,16449.3330122,0,-760.415567645,0.001,60.7927384813,0,T3_MTF_Trend_v1.0,0.0607927384813,CNYRUBF,H1_M15,-0.79331423367
T3-Si-000002,T3,Si,SHORT,2023-01-16 10:15:00+03:00,68.18,68.5297857269,0.349785726875,2023-01-16 12:00:00+03:00,68.5297857269,ATR_TRAILING_STOP,7,-996.510316158,-1,0.349785726875,0.29,1,0.829078998137,-0.349785726875,-1,2848.91646398,0,-996.510316158,0.001,349.785726875,0,T3_MTF_Trend_v1.0,0.349785726875,USDRUBF,H1_M15,-1.00571778619
T3-Si-000003,T3,Si,LONG,2023-01-30 14:15:00+03:00,69.85,69.7118321268,0.138167873165,2023-01-30 22:30:00+03:00,70.62,ATR_TRAILING_STOP,33,5497.94823215,5.57293082945,0.02,1.05,0.144751450116,7.59945113107,0.77,5.57293082945,7140.19250929,0,5497.94823215,0.001,138.167873165,0,T3_MTF_Trend_v1.0,0.138167873165,USDRUBF,H1_M15,5.55845568444
T3-CNY-000002,T3,CNY,LONG,2023-01-30 19:15:00+03:00,10.43,10.391613872,0.0383861280351,2023-01-31 10:00:00+03:00,10.4450113507,ATR_TRAILING_STOP,23,388.088166121,0.391061861395,0.02,0.06,0.521021551893,1.56306465568,0.0150113506811,0.391061861395,25852.9811451,0,388.088166121,0.001,38.3861280351,0,T3_MTF_Trend_v1.0,0.0383861280351,CNYRUBF,H1_M15,0.338959706205
T3-Si-000004,T3,Si,LONG,2023-01-31 15:45:00+03:00,70.8,70.6165619665,0.183438033513,2023-01-31 16:15:00+03:00,70.6165619665,ATR_TRAILING_STOP,2,-1041.52469532,-1,0.183438033513,0.01,1,0.0545143218584,-0.183438033513,-1,5677.8012464,0,-1041.52469532,0.001,183.438033513,0,T3_MTF_Trend_v1.0,0.183438033513,USDRUBF,H1_M15,-1.01090286437
T3-Si-000005,T3,Si,LONG,2023-02-01 09:15:00+03:00,70.14,69.9336716576,0.206328342418,2023-02-01 10:45:00+03:00,70.1144724411,ATR_TRAILING_STOP,6,-127.571941468,-0.123722987575,0.0255275589453,0.36,0.123722987575,1.7447918002,-0.0255275589453,-0.123722987575,4997.42030726,0,-127.571941468,0.001,206.328342418,0,T3_MTF_Trend_v1.0,0.206328342418,USDRUBF,H1_M15,-0.133416275354
T3-CNY-000003,T3,CNY,LONG,2023-02-01 09:45:00+03:00,10.4,10.359691207,0.0403087930156,2023-02-01 14:45:00+03:00,10.3787367483,ATR_TRAILING_STOP,20,-525.544955158,-0.527509015769,0.0212632517305,0.03,0.527509015769,0.744254485327,-0.0212632517305,-0.527509015769,24716.1140647,0,-525.544955158,0.001,40.3087930156,0,T3_MTF_Trend_v1.0,0.0403087930156,CNYRUBF,H1_M15,-0.577125981457
T3-Si-000006,T3,Si,LONG,2023-02-07 17:45:00+03:00,71.34,71.1809183231,0.159081676902,2023-02-07 19:15:00+03:00,71.1809183231,ATR_TRAILING_STOP,6,-1029.83372895,-1,0.159081676902,0.00999999999999,1,0.0628607907254,-0.159081676902,-1,6473.61625175,0,-1029.83372895,0.001,159.081676902,0,T3_MTF_Trend_v1.0,0.159081676902,USDRUBF,H1_M15,-1.01257215815
T3-Si-000007,T3,Si,LONG,2023-02-08 11:15:00+03:00,71.75,71.5274081887,0.222591811265,2023-02-08 13:45:00+03:00,71.5274081887,ATR_TRAILING_STOP,10,-1019.53539166,-1,0.222591811265,0.05,1,0.224626412426,-0.222591811265,-1,4580.29154741,0,-1019.53539166,0.001,222.591811265,0,T3_MTF_Trend_v1.0,0.222591811265,USDRUBF,H1_M15,-1.0089850565
