instrument,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_hours,losing_streak,average_MAE_R,average_MFE_R
USDRUBF,202,1.8034839943,0.331116959981,66.8856259161,-14.2548954505,4.69211620306,0.435643564356,9.26856435644,7,0.591047690729,1.75349831178
CNYRUBF,177,1.53083819967,0.23700680234,41.9502040142,-17.7847086199,2.35877938238,0.38418079096,9.60593220339,15,0.607233679775,1.64801452641
