instrument,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
USDRUBF,604,1.36026628195,0.162185403288,97.9599835858,-24.9726410236,3.92269217714,0.402317880795
CNYRUBF,527,0.963258218331,-0.0197907652126,-10.429733267,-31.5930828032,-0.330127114596,0.343453510436
