month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
01-January,72,1.12279544266,0.0573664508647,4.13038446226,-7.84432205706,0.526544477932,0.347222222222
02-February,82,0.545750187707,-0.261042302934,-21.4054688406,-22.8549383302,-0.936579593054,0.268292682927
03-March,94,0.864553073367,-0.0720539030718,-6.77306688875,-15.2919912692,-0.442915953163,0.31914893617
04-April,95,1.36709344428,0.209736529035,19.9249702583,-15.779003414,1.26275213558,0.315789473684
05-May,99,1.4150171497,0.209703462316,20.7606427692,-10.2531986464,2.0247966986,0.40404040404
06-June,90,1.41553452082,0.187430404416,16.8687363974,-18.4296402474,0.915304703235,0.4
07-July,88,0.800315172193,-0.0993672025917,-8.74431382807,-18.3612738893,-0.476236773156,0.352272727273
08-August,94,1.03339082306,0.0155137884734,1.4582961165,-13.7762684606,0.105855669165,0.393617021277
09-September,95,0.800003085642,-0.108427894573,-10.3006499844,-16.7534709425,-0.614836771425,0.326315789474
10-October,99,1.43255363258,0.172325306755,17.0602053687,-8.782116514,1.94260749576,0.454545454545
11-November,89,1.93311988704,0.392585524051,34.9401116406,-7.78271621495,4.48944952836,0.460674157303
12-December,134,1.30516501245,0.146346289907,19.6104028476,-15.9377688448,1.23043589341,0.417910447761
