category,holding_bucket,average_duration_minutes,median_duration_minutes,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
BUCKET,0-15 min,8.05555555556,10,108,0.000983377156692,-1.01727801947,-109.866026103,-109.866026103,-1,0.00925925925926
BUCKET,15-30 min,20.0297619048,20,168,0.0955519105353,-0.775859567963,-130.344407418,-130.344407418,-1,0.0833333333333
BUCKET,30-60 min,42.2040816327,40,245,0.347533020567,-0.412515803146,-101.066371771,-103.015194446,-0.981082182242,0.257142857143
BUCKET,60+ min,164.131147541,110,610,3.92127121176,0.702962386246,428.80705561,-7.15107426227,59.9640053903,0.567213114754
WINNING,ALL,151.768867925,110,424,DATA_UNAVAILABLE,1.51723098528,643.30593776,0,DATA_UNAVAILABLE,1
LOSING,ALL,71.2093352192,40,707,0,-0.786104225518,-555.775687441,-555.775687441,-1,0
ALL,ALL,101.41025641,65,1131,1.15749204634,0.0773919100962,87.5302503188,-42.8121622922,2.04451832452,0.374889478338
