weekday,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
Monday,230,1.46366854289,0.201148406009,46.264133382,-23.2398023263,1.99072835184,0.413043478261
Tuesday,200,1.14530259401,0.0655223017468,13.1044603494,-14.6929838742,0.891885573522,0.42
Wednesday,221,0.823605602705,-0.0958158515151,-21.1753031848,-33.9352234412,-0.623991859713,0.316742081448
Thursday,224,1.24392696854,0.12074231861,27.0462793686,-17.3137689045,1.56212546891,0.383928571429
Friday,251,1.21093632083,0.109079856246,27.3790439178,-26.9906285416,1.01439074958,0.354581673307
