section,rank,trade_id,instrument,direction,entry_time,net_R,top_1_dependency,top_5_dependency,net_R_without_top_5,PF_without_top_5,R_p05,R_p10,R_p25,R_median,R_p75,R_p90,R_p95
SUMMARY,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,87.5302503188,0.0255810949338,0.0805446477669,35.7154001556,1.06426225717,-1.1087958825,-1.07477882274,-1.01086241673,-0.408844712557,0.545389227985,1.93333541684,3.1025173857
BEST_TRADE,1,T3-M5-Si-000090,USDRUBF,SHORT,2023-04-28T08:00:00+00:00,16.4564702653,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
BEST_TRADE,2,T3-M5-CNY-000044,CNYRUBF,SHORT,2023-04-28T08:00:00+00:00,10.8641061284,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
BEST_TRADE,3,T3-M5-Si-000093,USDRUBF,SHORT,2023-05-04T07:35:00+00:00,8.86278673904,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
BEST_TRADE,4,T3-M5-Si-000114,USDRUBF,LONG,2023-05-29T19:05:00+00:00,8.383260205,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
BEST_TRADE,5,T3-M5-CNY-000360,CNYRUBF,SHORT,2024-06-18T14:15:00+00:00,7.24822682546,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,1,T3-M5-CNY-000349,CNYRUBF,SHORT,2024-05-31T20:45:00+00:00,-2.88970013348,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,2,T3-M5-Si-000200,USDRUBF,LONG,2023-08-23T20:50:00+00:00,-2.3392504105,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,3,T3-M5-CNY-000081,CNYRUBF,LONG,2023-07-04T15:50:00+00:00,-2.02583613923,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,4,T3-M5-CNY-000321,CNYRUBF,LONG,2024-04-29T15:20:00+00:00,-1.78489593945,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,5,T3-M5-Si-000521,USDRUBF,LONG,2024-09-10T15:15:00+00:00,-1.60914334275,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
