configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,Si_trades,Si_expectancy_C1,CNY_trades,CNY_expectancy_C1,2023_trades,2023_expectancy_C1,2024_trades,2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,expectancy_C1_without_top3,net_R_without_top5,expectancy_C1_without_top5,PF_C1_without_best_trade,PF_C1_without_top3,PF_C1_without_top5
T2-M30-0000-5553cde1a914,224,1.5007887264,0.22268741191,49.8819802678,-18.6806126963,2.67025397286,0.334821428571,129,0.196868908043,95,0.257746222424,99,0.312474107399,125,0.151576349083,147,0.276058591403,77,0.120796978332,0.0986745336819,0.212143042462,0.294039103596,0.454362173313,35.1312410858,0.157539197694,18.1689680864,0.0822125252777,5.92642289513,0.0270612917586,1.35269909867,1.18240683989,1.0594981546
T2-M30-0001-3cda411fac32,158,1.23533810602,0.118508654896,18.7243674735,-18.7127918827,1.0006185924,0.278481012658,88,0.177404708885,70,0.0444679013099,73,0.0602202020792,85,0.168568149668,91,0.149646809592,67,0.0762165343377,0.13212686003,0.320023835565,0.423775240392,0.616841490792,5.7378754199,0.0365469771968,-12.7301528004,-0.0821300180669,-22.9276765593,-0.149854095159,1.072116761,0.840000467112,0.711832403176
T2-M30-0002-2d018223b5df,212,1.72731251922,0.31742007103,67.2930550583,-10.8999922316,6.17367917595,0.377358490566,118,0.360245946025,94,0.263659930078,94,0.371647972288,118,0.274221573417,118,0.259229702932,94,0.390467554386,0.0922982955362,0.197368861605,0.273972890748,0.448087237944,52.5423158762,0.249015715053,35.7503642286,0.171054374299,23.5078190373,0.113564343176,1.56788451783,1.38639481366,1.2540757151
T2-M30-0003-f6822266078f,183,1.49284632834,0.224511661755,41.0856341012,-11.9082519998,3.45018178165,0.327868852459,101,0.237319133682,82,0.208736604869,88,0.299415858237,95,0.155126721855,113,0.256744568048,70,0.172478541597,0.118527796595,0.237412438352,0.326148867487,0.492863020877,26.3348949191,0.14469722483,11.5397464924,0.0641097027354,0.496531654046,0.00278950367442,1.31590254238,1.13842604144,1.00595618902
T2-M30-0004-b6d0084e4f65,188,1.40151009614,0.185220496584,34.8214533579,-12.7340772407,2.73450935624,0.292553191489,106,0.223808093548,82,0.135338968802,88,0.245605910593,100,0.132081332257,116,0.22131354678,72,0.127070582381,0.121357642193,0.24308064921,0.333935656439,0.504630102442,20.0707141758,0.10733002233,5.27556574909,0.0285165716167,-5.76764908924,-0.0315172081379,1.23142613536,1.0608301121,0.93349590218
T2-M30-0005-d585df88c9ab,188,1.39260169736,0.181398676999,34.1029512759,-16.9366541732,2.01355893124,0.313829787234,105,0.173533205725,83,0.191348971985,89,0.255431819902,99,0.11484362934,116,0.22555653799,72,0.110255456514,0.121940247503,0.244247613847,0.335538791462,0.507052695463,19.3522120938,0.103487765208,4.55706366711,0.024632776579,-6.48615117122,-0.0354434490231,1.22278750171,1.05246205574,0.925329806839
T2-M30-0006-62a6c15a0bef,130,1.43032604984,0.213527231599,27.7585401079,-10.5706212709,2.62600838649,0.330769230769,74,0.210672165041,56,0.217299998123,61,0.0692142056734,69,0.34110831249,80,0.252909864528,50,0.150515018914,0.159874703085,0.319521250992,0.418911528581,0.619395046548,13.0078009258,0.100835666092,-1.72188766193,-0.0135581705664,-10.8920692708,-0.0871365541663,1.20165309731,0.97330648107,0.831145977934
T2-M30-0007-5e693919b60a,191,1.19216817294,0.0689249670515,13.1646687068,-10.3666418209,1.26990677736,0.408376963351,107,0.0351140289482,84,0.111993662016,92,0.0301807406147,99,0.10492970273,118,0.146632833069,73,-0.0566850081552,0.0658329560929,0.157070761558,0.227058400433,0.384860800323,7.78804858103,0.0409897293739,0.336597967057,0.00179041471839,-5.37933779019,-0.028921170915,1.11368421796,1.00491341011,0.921476374545
T2-M30-0008-2b0494cdd24b,178,1.48755149674,0.222571280767,39.6176879764,-15.0847664713,2.62633750756,0.325842696629,99,0.220014415113,79,0.22577545418,86,0.277941316604,92,0.170812334223,109,0.271624668639,69,0.145081146302,0.122031834921,0.244431064421,0.335790809416,0.507433534836,24.8669487944,0.140491236126,10.0718003677,0.0575531449581,-0.971414470665,-0.0056151125472,1.30602285806,1.12394770101,0.988045375606
T2-M30-0009-02b46f097e21,165,1.84938460731,0.453191206941,74.7765491453,-14.3926567834,5.19546531752,0.30303030303,94,0.414500245197,71,0.504415860519,78,0.483096912287,87,0.426379195252,103,0.526545422274,62,0.331328558888,0.12878341131,0.244608708565,0.336433723841,0.522460950903,53.80897458,0.328103503537,34.9511455162,0.215747811828,20.0008670979,0.125005419362,1.61121454876,1.39700902688,1.22718925706
T2-M30-0010-d3783aeec2de,201,1.41349591452,0.189170961721,38.0233633059,-15.1233569236,2.51421450264,0.318407960199,115,0.17909423578,86,0.202645653386,101,0.262426649779,100,0.115182716782,125,0.174841630466,76,0.212738940758,0.113485381047,0.227312426332,0.312273825788,0.480150813336,23.2726241238,0.116363120619,8.47747569715,0.042815533824,-2.56573914118,-0.0130905058224,1.25308479205,1.09219072858,0.972098137557
T2-M30-0011-37b94d2fd3b2,177,1.49604968525,0.226436554212,40.0792700955,-14.0789498661,2.84675138961,0.327683615819,98,0.229128528349,79,0.223097143257,86,0.274081718339,91,0.181409256246,109,0.268572852829,68,0.158894546134,0.122031834921,0.244431064421,0.335790809416,0.507433534836,25.3285309134,0.143912107463,10.5333824867,0.0605366809583,-0.509832351588,-0.002964141579,1.31348399703,1.13036866826,0.993689950517
T2-M30-0012-f533275fb390,177,1.56956734717,0.263082108856,46.5655332675,-14.7895307086,3.14854704892,0.344632768362,97,0.199787322708,80,0.33982703706,86,0.357390579087,91,0.173955422704,108,0.35009463984,69,0.126888582098,0.114951417637,0.230248913227,0.316307868326,0.477991699654,31.8147940854,0.180765875485,17.0196456587,0.0978140555099,5.97643082039,0.0347466908162,1.38914335553,1.20817617124,1.07310084539
T2-M30-0013-2fa976bb392d,181,1.45260336781,0.205692846227,37.230405167,-15.4103215466,2.4159395412,0.314917127072,102,0.187264118348,79,0.229486899943,86,0.289757564846,95,0.129592153582,113,0.231227340302,68,0.16326052519,0.123448766826,0.24726919411,0.339689732278,0.513325429893,22.4796659849,0.12488703325,7.68451755825,0.0431714469565,-3.35869728008,-0.0190835072732,1.27328127337,1.09341930369,0.959168918694
T2-M30-0014-26fb9b19bd4f,170,1.17055959631,0.0815749744072,13.8677456492,-15.7119809994,0.882622353585,0.305882352941,91,0.138741069987,79,0.0157254212706,89,0.0440812021488,81,0.122771835284,104,0.173059539937,66,-0.0625825227913,0.127163597869,0.281927733799,0.377961445354,0.569195406982,1.76494040262,0.010443434335,-12.9647481851,-0.0776332226656,-22.1047640979,-0.13396826726,1.02170702652,0.840546382043,0.728133199414
T2-M30-0015-06f7457aa579,164,0.928294195472,-0.035068354483,-5.75121013521,-18.888818273,-0.304476968971,0.30487804878,84,0.0165013807893,80,-0.089216576519,76,-0.0292953558757,88,-0.0400541260075,102,0.0790131109196,62,-0.222750765307,0.162553186357,0.298896610369,0.400229293877,0.599800927553,-17.8540153818,-0.109533836698,-28.0053876462,-0.173946507119,-35.5500550938,-0.223585252162,0.777397016121,0.65083020702,0.556763665107
T2-M30-0016-6849cb8732c4,198,1.4199452672,0.197294732897,39.0643571136,-17.0397484858,2.29254305873,0.308080808081,106,0.232907358202,92,0.156262795045,100,0.225287897466,98,0.168730279254,121,0.270328863856,77,0.0825268128174,0.0823371873798,0.213754253096,0.306439822205,0.477372348434,28.188697104,0.143089833015,10.8302303933,0.0555396430427,-1.41231479793,-0.00731769325353,1.30303096767,1.11642592717,0.98481749198
T2-M30-0017-ddab5bab2879,123,1.74876227607,0.345103331509,42.4477097756,-12.1194071558,3.50245760622,0.357723577236,68,0.488627143902,55,0.167655708914,66,0.258645529708,57,0.445212365174,77,0.405777966099,46,0.243539269261,0.148789642512,0.298027237873,0.397677800348,0.592581243898,27.6969705936,0.227024349127,12.9018221669,0.107515184724,3.02264353859,0.0256156232084,1.48856456218,1.22758348524,1.05331834079
T2-M30-0018-f1f384e0c476,80,2.13263323396,0.521637657565,41.7310126052,-5.57473814149,7.48573503295,0.35,42,0.807212418711,38,0.206002395247,47,0.240085908022,33,0.922635603885,50,0.565534772926,30,0.448475798631,0.187727539879,0.376020260808,0.492725980598,0.718607552627,26.9802734232,0.341522448394,12.1851249965,0.158248376577,3.01494338761,0.0401992451681,1.73227924349,1.33071992912,1.0818294325
