year,trades,net_R,profit_factor,expectancy,average_R,max_drawdown,win_rate
2023,17,-46.53825859478475,0.07446900636020712,-2.7375446232226324,-2.7375446232226324,-46.53825859478475,0.058823529411764705
2024,11,-19.213832875979787,0.05282333916953682,-1.7467120796345261,-1.7467120796345261,-19.2901722550647,0.09090909090909091
