scenario,cost_ticks_per_side,trades,net_R,profit_factor,profit_factor_R,expectancy,expectancy_R,average_R,max_drawdown,max_DD_R,win_rate
C0,0.0,28,-2.4730824831046063,0.8164931089855454,0.8164931089855454,-0.08832437439659309,-0.08832437439659309,-0.08832437439659309,-6.271294440426965,-6.271294440426965,0.21428571428571427
C0.5,0.5,28,-2.775582523375273,0.7978130439430455,0.7978130439430455,-0.0991279472634026,-0.0991279472634026,-0.0991279472634026,-6.464049157076954,-6.464049157076954,0.21428571428571427
C1,1.0,28,-3.0780825636459395,0.7798038595078312,0.7798038595078312,-0.10993152013021212,-0.10993152013021212,-0.10993152013021212,-6.656803873726945,-6.656803873726945,0.21428571428571427
C2,2.0,28,-3.6830826441872704,0.745658579344683,0.745658579344683,-0.1315386658638311,-0.1315386658638311,-0.1315386658638311,-7.042313307026923,-7.042313307026923,0.21428571428571427
