trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit
CNY-000001,T1_BBW_Donchian_v1.0,CNY,LONG,2023-02-15 13:00:00+03:00,10.87,10.80330006839504,0.06669993160495835,2023-02-15 18:00:00+03:00,10.811107738446122,ATR_TRAILING_STOP,5,-882.9433574636446,-0.8829433574636446,0.05889226155387739,0.040000000000000924,0.8829433574636446,0.5997007648659627,-0.05889226155387739,-0.8829433574636446,14992.519121648722,0.0,-882.9433574636446
CNY-000002,T1_BBW_Donchian_v1.0,CNY,SHORT,2023-02-17 13:00:00+03:00,10.81,10.879363090494229,0.06936309049422817,2023-02-20 15:00:00+03:00,10.810851760758354,ATR_TRAILING_STOP,17,-12.171317444196449,-0.012279740598121328,0.03999999999999915,0.120000000000001,0.5766755736370717,1.7300267209112663,-0.0008517607583531372,-0.012279740598121328,14289.596374138499,0.0,-12.171317444196449
CNY-000003,T1_BBW_Donchian_v1.0,CNY,SHORT,2023-03-09 17:00:00+03:00,10.83,10.877411736746145,0.047411736746145294,2023-03-09 23:00:00+03:00,10.877411736746145,ATR_TRAILING_STOP,6,-991.0488532509215,-1.0,0.047411736746145294,0.0,1.0,0.0,-0.047411736746145294,-1.0,20903.027842182906,0.0,-991.0488532509215
Si-000001,T1_BBW_Donchian_v1.0,Si,SHORT,2023-03-13 10:00:00+03:00,75.68,75.94685872126794,0.26685872126793697,2023-03-14 10:00:00+03:00,75.37154127098754,ATR_TRAILING_STOP,15,1155.887757937529,1.1558877579375288,0.04999999999999716,0.8200000000000074,0.1873650587937695,3.072786964218022,0.3084587290124716,1.1558877579375288,3747.301175875603,0.0,1155.887757937529
Si-000002,T1_BBW_Donchian_v1.0,Si,SHORT,2023-03-23 12:00:00+03:00,76.54,76.93888738576888,0.39888738576887306,2023-03-24 11:00:00+03:00,76.35763001474442,ATR_TRAILING_STOP,14,462.48135230880473,0.45719667194805935,0.0799999999999983,0.7200000000000131,0.20055785881971364,1.805020729377494,0.18236998525559045,0.45719667194805935,2535.951031967458,0.0,462.48135230880473
Si-000003,T1_BBW_Donchian_v1.0,Si,LONG,2023-03-31 14:00:00+03:00,77.52,77.2379745034716,0.2820254965283908,2023-03-31 18:00:00+03:00,77.44491434992372,ATR_TRAILING_STOP,4,-270.54579810182577,-0.26623709912949806,0.0750856500762751,0.46000000000000796,0.26623709912949806,1.6310582045325852,-0.0750856500762751,-0.26623709912949806,3603.162492793153,0.0,-270.54579810182577
Si-000004,T1_BBW_Donchian_v1.0,Si,SHORT,2023-04-13 12:00:00+03:00,81.49,81.92119984885002,0.43119984885002793,2023-04-14 00:00:00+03:00,81.79763997275506,ATR_TRAILING_STOP,12,-723.0670809761278,-0.7134510217837926,0.3076399727550694,0.269999999999996,0.7134510217837926,0.6261597742208451,-0.3076399727550694,-0.7134510217837926,2350.3677838113867,0.0,-723.0670809761278
CNY-000004,T1_BBW_Donchian_v1.0,CNY,LONG,2023-04-26 22:00:00+03:00,11.81,11.766527825685664,0.0434721743143367,2023-04-27 12:00:00+03:00,11.775381723595883,ATR_TRAILING_STOP,5,-781.3117157405289,-0.7963318364018577,0.03461827640411741,0.02999999999999936,0.7963318364018577,0.690096607155572,-0.03461827640411741,-0.7963318364018577,22569.34188807857,0.0,-781.3117157405289
Si-000005,T1_BBW_Donchian_v1.0,Si,SHORT,2023-05-17 22:00:00+03:00,79.59,80.17244848719267,0.5824484871926643,2023-05-18 10:00:00+03:00,80.17244848719267,ATR_TRAILING_STOP,3,-1006.2475623116839,-1.0,0.5824484871926643,0.0799999999999983,1.0,0.1373512023107644,-0.5824484871926643,-1.0,1727.6164063223566,0.0,-1006.2475623116839
Si-000006,T1_BBW_Donchian_v1.0,Si,LONG,2023-07-27 16:00:00+03:00,90.34,89.99649627852122,0.3435037214787826,2023-07-31 11:00:00+03:00,91.74016436066313,ATR_TRAILING_STOP,25,4060.5756729526247,4.076125739294533,0.0799999999999983,2.1599999999999966,0.23289412893577544,6.288141481266061,1.4001643606631262,4.076125739294533,2900.0707252893594,0.0,4060.5756729526247
