direction,trades,net_R,profit_factor,expectancy,average_R,max_drawdown,win_rate
LONG,14,-28.78346382696582,0.11511654338523956,-2.05596170192613,-2.05596170192613,-28.78346382696582,0.07142857142857142
SHORT,14,-36.96862764379871,0.028168676097788933,-2.6406162602713366,-2.6406162602713366,-36.96862764379871,0.07142857142857142
