parameter,value,configuration_id,trades,PF_C0,PF_C1,expectancy_C1,net_R_C1,max_DD_R_C1,winrate,Si_expectancy_C1,CNY_expectancy_C1,Y2023_expectancy_C1,Y2024_expectancy_C1,LONG_trades,SHORT_trades,status
trail_atr,2.0,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.0,135,1.7901023243024847,1.7287302665797166,0.237484075913963,32.06035024838501,-10.349117117932591,0.4444444444444444,0.18376714546095232,0.3046302389802264,0.19747894204173597,0.27930762496220035,93,42,POSITIVE
trail_atr,2.5,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.5,121,1.9118243559602104,1.8538702647667709,0.3398303310447737,41.11947005641762,-13.647842270304423,0.4049586776859504,0.2653419619793967,0.42921637392322604,0.18230018748654134,0.5109406593925088,81,40,POSITIVE
trail_atr,3.0,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.0,109,2.1049567258779187,2.050317167764735,0.46344295761127374,50.515282379628836,-16.783903569375298,0.43119266055045874,0.3362333671533808,0.6251051454848459,0.2701124525071036,0.6677166988534158,74,35,POSITIVE
trail_atr,3.5,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.5,102,2.1426560196155284,2.0928846525360343,0.5264517737825659,53.69808092582172,-17.951490224321994,0.4411764705882353,0.4195195547179535,0.6566301274264421,0.2458696579332621,0.8299385521501803,69,33,POSITIVE
trail_atr,4.0,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR4.0,97,2.4953588252062944,2.4429376098222515,0.7240509890402105,70.23294593690042,-19.726611057273814,0.41237113402061853,0.6662797025873363,0.7936391295402636,0.2169809720277194,1.2862373122497113,64,33,POSITIVE
