variant,month,trades,PF,net_R,positive_months,negative_months,largest_losing_month_R,largest_winning_month_R
BASELINE,2023-01,26,0.859454570905,-1.40114165802,12,12,-17.3576547449,35.1757838656
BASELINE,2023-02,37,0.796919738622,-4.0478140957,12,12,-17.3576547449,35.1757838656
BASELINE,2023-03,38,0.816851517248,-3.77785144081,12,12,-17.3576547449,35.1757838656
BASELINE,2023-04,34,2.97108397397,35.1757838656,12,12,-17.3576547449,35.1757838656
BASELINE,2023-05,43,1.63203884003,12.7573107883,12,12,-17.3576547449,35.1757838656
BASELINE,2023-06,47,0.742498858359,-6.77342216096,12,12,-17.3576547449,35.1757838656
BASELINE,2023-07,43,0.987663097593,-0.256465860494,12,12,-17.3576547449,35.1757838656
BASELINE,2023-08,44,1.72858022187,12.3578648371,12,12,-17.3576547449,35.1757838656
BASELINE,2023-09,43,0.927126065395,-1.62002569829,12,12,-17.3576547449,35.1757838656
BASELINE,2023-10,53,1.8981441534,16.7144109474,12,12,-17.3576547449,35.1757838656
BASELINE,2023-11,41,1.28878344295,5.71534907716,12,12,-17.3576547449,35.1757838656
BASELINE,2023-12,72,1.41436017913,15.0728829663,12,12,-17.3576547449,35.1757838656
BASELINE,2024-01,46,1.23372330309,5.53152612028,12,12,-17.3576547449,35.1757838656
BASELINE,2024-02,45,0.36163009033,-17.3576547449,12,12,-17.3576547449,35.1757838656
BASELINE,2024-03,56,0.898045837556,-2.99521544794,12,12,-17.3576547449,35.1757838656
BASELINE,2024-04,61,0.581386669477,-15.2508136073,12,12,-17.3576547449,35.1757838656
BASELINE,2024-05,56,1.26821536586,8.00333198092,12,12,-17.3576547449,35.1757838656
BASELINE,2024-06,43,2.65435805551,23.6421585584,12,12,-17.3576547449,35.1757838656
BASELINE,2024-07,45,0.630996240186,-8.48784796758,12,12,-17.3576547449,35.1757838656
BASELINE,2024-08,50,0.591959681026,-10.8995687206,12,12,-17.3576547449,35.1757838656
BASELINE,2024-09,52,0.703464977653,-8.68062428614,12,12,-17.3576547449,35.1757838656
BASELINE,2024-10,46,1.01660020795,0.345794421336,12,12,-17.3576547449,35.1757838656
BASELINE,2024-11,48,2.655486955,29.2247625634,12,12,-17.3576547449,35.1757838656
BASELINE,2024-12,62,1.16272054608,4.53751988123,12,12,-17.3576547449,35.1757838656
SESSION_CANDIDATE,2023-01,17,0.356200526045,-5.17432141651,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-02,22,1.58278792562,5.59242729104,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-03,29,0.907459026898,-1.58858448343,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-04,19,5.7560660312,37.8292769998,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-05,32,1.27408318994,3.86263466925,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-06,29,1.14959449613,2.24538179736,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-07,28,1.08650495541,1.0180561081,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-08,30,3.16233539209,16.2942063484,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-09,29,0.789791463078,-3.37895894464,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-10,35,2.32789791875,16.9075096443,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-11,31,0.806863577068,-3.20033903025,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2023-12,54,1.66409493741,17.8866304188,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-01,34,1.41989069127,7.99529899912,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-02,33,0.39404127189,-12.5137562026,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-03,37,1.49827544368,8.30118900131,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-04,49,0.674287370831,-9.38375552231,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-05,47,1.3343432397,8.41579641991,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-06,34,1.85793691242,10.6541430435,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-07,32,0.763297348175,-3.73289437384,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-08,40,0.538624544229,-9.46547119994,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-09,38,0.765684156909,-5.29844952225,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-10,38,0.795997626388,-3.71414591578,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-11,32,2.93717375029,22.4806906999,14,10,-12.5137562026,37.8292769998
SESSION_CANDIDATE,2024-12,45,1.61368452236,11.0503033585,14,10,-12.5137562026,37.8292769998
EMA50_NORMAL,2023-01,1,0,-0.131627934001,10,14,-2.93813665254,13.453678398
EMA50_NORMAL,2023-02,1,DATA_UNAVAILABLE,0.0799881990307,10,14,-2.93813665254,13.453678398
EMA50_NORMAL,2023-03,8,0.896190282451,-0.391759764281,10,14,-2.93813665254,13.453678398
EMA50_NORMAL,2023-04,4,26.4712950271,13.453678398,10,14,-2.93813665254,13.453678398
EMA50_NORMAL,2023-05,4,1.8250792505,2.26045947298,10,14,-2.93813665254,13.453678398
EMA50_NORMAL,2023-06,5,0,-2.93813665254,10,14,-2.93813665254,13.453678398
EMA50_NORMAL,2023-07,6,1.29798577173,0.77881059323,10,14,-2.93813665254,13.453678398
EMA50_NORMAL,2023-08,5,2.07649178799,1.51016667447,10,14,-2.93813665254,13.453678398
EMA50_NORMAL,2023-09,3,3.05600959012,0.965528528112,10,14,-2.93813665254,13.453678398
EMA50_NORMAL,2023-10,1,0,-0.208056714457,10,14,-2.93813665254,13.453678398
