instrument,variant,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,losing_streak,average_holding_time
USDRUBF,BASELINE,604,0.402317880795,1.36026628195,0.162185403288,97.9599835858,-24.9726410236,3.92269217714,12,91.7715231788
CNYRUBF,BASELINE,527,0.343453510436,0.963258218331,-0.0197907652126,-10.429733267,-31.5930828032,-0.330127114596,12,112.457305503
USDRUBF,SESSION_CANDIDATE,435,0.411494252874,1.53815872638,0.240095622752,104.441595897,-17.6691854422,5.91094571046,9,80.6436781609
CNYRUBF,SESSION_CANDIDATE,379,0.353562005277,1.04345244214,0.0228001907399,8.64127229043,-19.8194004715,0.436000690477,10,76.5039577836
USDRUBF,EMA50_NORMAL,47,0.425531914894,0.933989292519,-0.029570055822,-1.38979262363,-8.1294130924,-0.170958543727,6,84.1489361702
CNYRUBF,EMA50_NORMAL,36,0.277777777778,1.21034939296,0.111959687799,4.03054876077,-10.7963170625,0.373326268341,12,140.833333333
USDRUBF,EMA50_EXTENDED,550,0.398181818182,1.39433800688,0.178588979068,98.2239384872,-18.9155841713,5.19275205024,11,92.2909090909
CNYRUBF,EMA50_EXTENDED,480,0.347916666667,0.937926430125,-0.0334819264918,-16.071324716,-26.785420847,-0.600002695789,10,110.770833333
