variant,drawdown_period,start,trough,recovery,duration_minutes,depth_R,instrument_contribution_R,direction_contribution_R,session_contribution_R
BASELINE,1,2023-01-06T08:40:00+00:00,2023-01-06T08:40:00+00:00,2023-01-09T07:25:00+00:00,4245,-1.00980948583,USDRUBF:-1.00980948583,SHORT:-1.00980948583,Session_B:-1.00980948583
BASELINE,2,2023-01-09T10:00:00+00:00,2023-01-09T10:00:00+00:00,2023-01-09T11:10:00+00:00,70,-0.778114810507,CNYRUBF:-0.778114810507,SHORT:-0.778114810507,Session_B:-0.778114810507
BASELINE,3,2023-01-09T13:55:00+00:00,2023-01-09T14:05:00+00:00,2023-01-13T09:25:00+00:00,5490,-0.940508363304,CNYRUBF:-0.666164060384|USDRUBF:-0.27434430292,SHORT:-0.940508363304,Session_B:-0.940508363304
BASELINE,4,2023-01-13T14:40:00+00:00,2023-01-13T14:40:00+00:00,2023-01-13T19:15:00+00:00,275,-0.0703318462565,USDRUBF:-0.0703318462565,LONG:-0.0703318462565,Session_B:-0.0703318462565
BASELINE,5,2023-01-16T12:55:00+00:00,2023-03-31T08:25:00+00:00,2023-04-07T06:15:00+00:00,116240,-11.1317310196,CNYRUBF:-15.1307105584|USDRUBF:3.99897953879,LONG:-11.503261247|SHORT:0.371530227358,Session_A:-3.29155582312|Session_B:-1.51068309314|Session_C:-6.32949210337
BASELINE,6,2023-04-12T16:50:00+00:00,2023-04-27T16:10:00+00:00,2023-04-28T13:20:00+00:00,22830,-10.1979702934,CNYRUBF:-4.93329612228|USDRUBF:-5.26467417116,LONG:-1.93886483215|SHORT:-8.25910546129,Session_A:-1.01420039864|Session_B:-1.46262016067|Session_C:-7.72114973412
BASELINE,7,2023-04-28T19:20:00+00:00,2023-05-04T07:10:00+00:00,2023-05-04T13:15:00+00:00,8275,-1.62935292641,CNYRUBF:-0.0825373188346|USDRUBF:-1.54681560758,SHORT:-1.62935292641,Session_B:-1.10116311966|Session_C:-0.528189806747
BASELINE,8,2023-05-04T13:30:00+00:00,2023-05-04T13:30:00+00:00,2023-05-04T14:40:00+00:00,70,-1.00907972048,USDRUBF:-1.00907972048,SHORT:-1.00907972048,Session_B:-1.00907972048
BASELINE,9,2023-05-05T07:10:00+00:00,2023-05-05T07:10:00+00:00,2023-05-05T09:45:00+00:00,155,-0.875555189798,USDRUBF:-0.875555189798,SHORT:-0.875555189798,Session_B:-0.875555189798
BASELINE,10,2023-05-08T06:25:00+00:00,2023-06-28T15:35:00+00:00,2023-08-11T13:40:00+00:00,137235,-20.8985142027,CNYRUBF:-13.1022943227|USDRUBF:-7.79621987996,LONG:-12.7263864237|SHORT:-8.17212777895,Session_A:-5.05554922316|Session_B:-15.4330015666|Session_C:-0.409963412881
BASELINE,11,2023-08-11T13:40:00+00:00,2023-08-11T18:05:00+00:00,2023-08-15T07:20:00+00:00,5380,-1.40061140107,CNYRUBF:-1.40061140107,LONG:-1.40061140107,Session_B:-0.339821315571|Session_C:-1.0607900855
BASELINE,12,2023-08-16T15:35:00+00:00,2023-08-16T19:10:00+00:00,2023-08-17T10:35:00+00:00,1140,-1.3056200837,CNYRUBF:-0.441099068566|USDRUBF:-0.864521015135,SHORT:-1.3056200837,Session_C:-1.3056200837
BASELINE,13,2023-08-23T07:45:00+00:00,2023-09-11T15:15:00+00:00,2023-10-09T12:35:00+00:00,67970,-13.2584317145,CNYRUBF:-8.13448267702|USDRUBF:-5.12394903749,LONG:-9.97186611928|SHORT:-3.28656559522,Session_A:0.193518252931|Session_B:-7.52446924365|Session_C:-5.92748072379
BASELINE,14,2023-10-10T10:50:00+00:00,2023-10-20T06:05:00+00:00,2023-10-20T08:50:00+00:00,14280,-2.42605931269,CNYRUBF:-1.40370731803|USDRUBF:-1.02235199466,SHORT:-2.42605931269,Session_B:-1.15346465211|Session_C:-1.27259466058
BASELINE,15,2023-10-23T07:05:00+00:00,2023-10-23T07:05:00+00:00,2023-10-23T09:50:00+00:00,165,-2.10917262264,CNYRUBF:-1.09684515626|USDRUBF:-1.01232746638,SHORT:-2.10917262264,Session_B:-2.10917262264
BASELINE,16,2023-10-23T14:20:00+00:00,2023-10-27T06:45:00+00:00,2023-10-27T12:15:00+00:00,5635,-4.58076150795,CNYRUBF:-1.1882123393|USDRUBF:-3.39254916865,LONG:-1.30738760014|SHORT:-3.2733739078,Session_A:-1.30738760014|Session_B:-2.26139803549|Session_C:-1.01197587231
BASELINE,17,2023-10-27T16:15:00+00:00,2023-10-27T17:05:00+00:00,2023-10-30T12:00:00+00:00,4065,-0.6688721845,CNYRUBF:-0.4948655174|USDRUBF:-0.1740066671,LONG:-0.6688721845,Session_C:-0.6688721845
BASELINE,18,2023-10-31T13:55:00+00:00,2023-11-06T08:45:00+00:00,2023-11-20T09:25:00+00:00,28530,-8.96012146256,CNYRUBF:-3.1335512292|USDRUBF:-5.82657023335,LONG:-2.30970048038|SHORT:-6.65042098218,Session_B:-7.75208856902|Session_C:-1.20803289354
BASELINE,19,2023-11-22T10:55:00+00:00,2023-11-24T07:25:00+00:00,2023-11-30T15:30:00+00:00,11795,-3.27529655257,CNYRUBF:-1.62077237614|USDRUBF:-1.65452417643,LONG:-3.27529655257,Session_A:-1.1041223945|Session_B:-2.17117415807
BASELINE,20,2023-12-01T13:00:00+00:00,2023-12-05T15:25:00+00:00,2023-12-06T10:30:00+00:00,7050,-5.87436134193,CNYRUBF:-2.02943552165|USDRUBF:-3.84492582028,LONG:-5.87436134193,Session_B:-4.77147259103|Session_C:-1.1028887509
BASELINE,21,2023-12-08T12:20:00+00:00,2023-12-18T18:20:00+00:00,2023-12-21T09:40:00+00:00,18560,-15.9377688448,CNYRUBF:-6.38553272484|USDRUBF:-9.55223611994,LONG:-4.2491729098|SHORT:-11.688595935,Session_A:-1.04684744622|Session_B:-11.3419148743|Session_C:-3.5490065243
BASELINE,22,2023-12-21T12:55:00+00:00,2023-12-27T17:45:00+00:00,2023-12-29T08:55:00+00:00,11280,-7.43874710879,CNYRUBF:-5.46162759552|USDRUBF:-1.97711951327,LONG:-3.95450423114|SHORT:-3.48424287765,Session_B:-6.144930351|Session_C:-1.29381675779
BASELINE,23,2024-01-03T13:25:00+00:00,2024-01-05T08:50:00+00:00,2024-01-08T09:45:00+00:00,6980,-2.31593921114,CNYRUBF:-1.36197576762|USDRUBF:-0.95396344352,LONG:-0.95396344352|SHORT:-1.36197576762,Session_B:-1.91744781409|Session_C:-0.39849139705
BASELINE,24,2024-01-08T13:55:00+00:00,2024-01-08T14:15:00+00:00,2024-01-09T13:55:00+00:00,1440,-1.44200221983,CNYRUBF:-0.45992087136|USDRUBF:-0.982081348471,LONG:-1.44200221983,Session_B:-1.44200221983
BASELINE,25,2024-01-11T07:30:00+00:00,2024-05-06T09:35:00+00:00,2024-12-05T16:10:00+00:00,474280,-42.8121622922,CNYRUBF:-17.8701534541|USDRUBF:-24.9420088381,LONG:-15.8712184147|SHORT:-26.9409438775,Session_A:-1.87952050669|Session_B:-19.8475848995|Session_C:-21.085056886
BASELINE,26,2024-12-05T18:05:00+00:00,2024-12-05T18:05:00+00:00,2024-12-06T14:10:00+00:00,1205,-0.659267070779,USDRUBF:-0.659267070779,SHORT:-0.659267070779,Session_C:-0.659267070779
BASELINE,27,2024-12-06T18:25:00+00:00,2024-12-28T16:30:00+00:00,UNRECOVERED,34150,-9.5136483497,CNYRUBF:-10.7046756202|USDRUBF:1.1910272705,LONG:-5.35737940775|SHORT:-4.15626894194,Session_B:-3.63460450025|Session_C:-5.87904384945
SESSION_CANDIDATE,1,2023-01-06T08:40:00+00:00,2023-01-09T10:00:00+00:00,2023-01-13T14:35:00+00:00,10435,-1.78792429634,CNYRUBF:-0.778114810507|USDRUBF:-1.00980948583,SHORT:-1.78792429634,Session_B:-1.78792429634
SESSION_CANDIDATE,2,2023-01-13T14:40:00+00:00,2023-02-01T09:45:00+00:00,2023-02-24T11:45:00+00:00,60305,-6.19077887283,CNYRUBF:-2.99610272688|USDRUBF:-3.19467614595,LONG:-6.19077887283,Session_B:-6.19077887283
SESSION_CANDIDATE,3,2023-02-27T14:05:00+00:00,2023-03-13T08:05:00+00:00,2023-03-20T08:25:00+00:00,29900,-4.61118923529,CNYRUBF:-1.07416225275|USDRUBF:-3.53702698254,LONG:-1.96795323988|SHORT:-2.64323599541,Session_B:-4.61118923529
SESSION_CANDIDATE,4,2023-03-20T08:30:00+00:00,2023-03-20T08:30:00+00:00,2023-03-20T16:35:00+00:00,485,-0.0601012266047,CNYRUBF:-0.0601012266047,LONG:-0.0601012266047,Session_B:-0.0601012266047
SESSION_CANDIDATE,5,2023-03-21T10:30:00+00:00,2023-03-23T09:00:00+00:00,2023-03-23T12:40:00+00:00,3010,-1.5201116651,USDRUBF:-1.5201116651,SHORT:-1.5201116651,Session_B:-1.5201116651
SESSION_CANDIDATE,6,2023-03-23T13:20:00+00:00,2023-03-31T08:25:00+00:00,2023-04-03T13:25:00+00:00,15845,-6.18335561963,CNYRUBF:-3.24557321626|USDRUBF:-2.93778240337,LONG:-5.13431989929|SHORT:-1.04903572034,Session_B:-6.18335561963
SESSION_CANDIDATE,7,2023-04-04T08:40:00+00:00,2023-04-04T08:40:00+00:00,2023-04-06T11:45:00+00:00,3065,-0.803917740466,CNYRUBF:-0.803917740466,LONG:-0.803917740466,Session_B:-0.803917740466
SESSION_CANDIDATE,8,2023-04-06T12:45:00+00:00,2023-04-06T12:55:00+00:00,2023-04-07T10:30:00+00:00,1305,-2.06856894525,CNYRUBF:-1.0561960861|USDRUBF:-1.01237285915,LONG:-2.06856894525,Session_B:-2.06856894525
SESSION_CANDIDATE,9,2023-04-13T10:10:00+00:00,2023-04-25T12:05:00+00:00,2023-04-28T13:20:00+00:00,21790,-3.42554164612,CNYRUBF:-2.22353851043|USDRUBF:-1.20200313569,LONG:-1.56695904702|SHORT:-1.8585825991,Session_B:-3.42554164612
SESSION_CANDIDATE,10,2023-05-03T09:00:00+00:00,2023-05-04T07:10:00+00:00,2023-05-04T13:15:00+00:00,1695,-1.10116311966,CNYRUBF:-0.0825373188346|USDRUBF:-1.01862580083,SHORT:-1.10116311966,Session_B:-1.10116311966
SESSION_CANDIDATE,11,2023-05-04T13:30:00+00:00,2023-05-04T13:30:00+00:00,2023-05-04T14:40:00+00:00,70,-1.00907972048,USDRUBF:-1.00907972048,SHORT:-1.00907972048,Session_B:-1.00907972048
SESSION_CANDIDATE,12,2023-05-05T07:10:00+00:00,2023-06-28T14:00:00+00:00,2023-08-03T12:45:00+00:00,129935,-16.0325643275,CNYRUBF:-8.79429261897|USDRUBF:-7.23827170853,LONG:-9.686899719|SHORT:-6.3456646085,Session_B:-16.0325643275
SESSION_CANDIDATE,13,2023-08-04T11:15:00+00:00,2023-08-04T11:15:00+00:00,2023-08-04T15:05:00+00:00,230,-0.196657060481,USDRUBF:-0.196657060481,LONG:-0.196657060481,Session_B:-0.196657060481
SESSION_CANDIDATE,14,2023-08-07T08:10:00+00:00,2023-08-07T08:10:00+00:00,2023-08-07T10:00:00+00:00,110,-0.190389613794,USDRUBF:-0.190389613794,LONG:-0.190389613794,Session_B:-0.190389613794
SESSION_CANDIDATE,15,2023-08-07T10:00:00+00:00,2023-08-08T10:50:00+00:00,2023-08-08T15:05:00+00:00,1745,-1.76032383973,USDRUBF:-1.76032383973,LONG:-1.76032383973,Session_B:-1.76032383973
SESSION_CANDIDATE,16,2023-08-09T14:20:00+00:00,2023-08-10T19:15:00+00:00,2023-08-11T13:40:00+00:00,2840,-1.29380920365,CNYRUBF:-0.405989358497|USDRUBF:-0.887819845148,LONG:-1.29380920364,Session_B:-1.29380920364
SESSION_CANDIDATE,17,2023-08-11T13:40:00+00:00,2023-08-14T11:10:00+00:00,2023-08-17T10:35:00+00:00,8455,-0.808293483208,CNYRUBF:-0.339821315571|USDRUBF:-0.468472167637,LONG:-0.808293483208,Session_B:-0.808293483208
SESSION_CANDIDATE,18,2023-08-23T07:45:00+00:00,2023-08-23T07:45:00+00:00,2023-08-25T14:20:00+00:00,3275,-1.05653024592,CNYRUBF:-1.05653024592,LONG:-1.05653024592,Session_B:-1.05653024592
SESSION_CANDIDATE,19,2023-09-01T10:30:00+00:00,2023-09-11T10:55:00+00:00,2023-10-09T12:35:00+00:00,54845,-9.7477149986,CNYRUBF:-4.06575782535|USDRUBF:-5.68195717325,LONG:-6.63045568137|SHORT:-3.11725931724,Session_B:-9.7477149986
SESSION_CANDIDATE,20,2023-10-10T10:50:00+00:00,2023-10-18T11:00:00+00:00,2023-10-20T07:20:00+00:00,14190,-1.15346465211,CNYRUBF:0.06927653345|USDRUBF:-1.22274118556,SHORT:-1.15346465211,Session_B:-1.15346465211
SESSION_CANDIDATE,21,2023-10-23T07:05:00+00:00,2023-10-23T07:05:00+00:00,2023-10-23T09:50:00+00:00,165,-2.10917262264,CNYRUBF:-1.09684515626|USDRUBF:-1.01232746638,SHORT:-2.10917262264,Session_B:-2.10917262264
SESSION_CANDIDATE,22,2023-10-24T08:40:00+00:00,2023-10-25T10:00:00+00:00,2023-10-27T12:10:00+00:00,4530,-2.26139803549,CNYRUBF:-0.892468529046|USDRUBF:-1.36892950645,SHORT:-2.26139803549,Session_B:-2.26139803549
SESSION_CANDIDATE,23,2023-10-31T13:55:00+00:00,2023-11-14T14:00:00+00:00,2023-12-01T10:45:00+00:00,44450,-10.1043652756,CNYRUBF:-4.92390568296|USDRUBF:-5.18045959264,LONG:-2.10954864726|SHORT:-7.99481662833,Session_B:-10.1043652756
SESSION_CANDIDATE,24,2023-12-01T13:00:00+00:00,2023-12-04T11:50:00+00:00,2023-12-05T15:35:00+00:00,5915,-5.70271245109,CNYRUBF:-1.09743861587|USDRUBF:-4.60527383521,LONG:-5.70271245109,Session_B:-5.70271245109
SESSION_CANDIDATE,25,2023-12-08T12:20:00+00:00,2023-12-15T14:45:00+00:00,2023-12-21T09:40:00+00:00,18560,-11.3419148743,CNYRUBF:-5.43460849497|USDRUBF:-5.9073063793,LONG:-3.21861522812|SHORT:-8.12329964615,Session_B:-11.3419148743
SESSION_CANDIDATE,26,2023-12-21T12:55:00+00:00,2023-12-26T10:40:00+00:00,2023-12-29T08:55:00+00:00,11280,-6.144930351,CNYRUBF:-4.34017818871|USDRUBF:-1.80475216229,LONG:-3.95450423114|SHORT:-2.19042611986,Session_B:-6.144930351
SESSION_CANDIDATE,27,2024-01-03T13:25:00+00:00,2024-01-05T08:50:00+00:00,2024-01-08T09:45:00+00:00,6980,-1.91744781409,CNYRUBF:-0.963484370568|USDRUBF:-0.95396344352,LONG:-0.95396344352|SHORT:-0.963484370568,Session_B:-1.91744781409
SESSION_CANDIDATE,28,2024-01-08T13:55:00+00:00,2024-01-08T14:15:00+00:00,2024-01-09T13:55:00+00:00,1440,-1.44200221983,CNYRUBF:-0.45992087136|USDRUBF:-0.982081348471,LONG:-1.44200221983,Session_B:-1.44200221983
SESSION_CANDIDATE,29,2024-01-11T07:30:00+00:00,2024-04-17T14:00:00+00:00,2024-06-18T07:30:00+00:00,228960,-23.8157624243,CNYRUBF:-7.38231106557|USDRUBF:-16.4334513588,LONG:-4.87672543057|SHORT:-18.9390369938,Session_B:-23.8157624243
SESSION_CANDIDATE,30,2024-06-18T07:35:00+00:00,2024-06-19T11:25:00+00:00,2024-06-19T14:30:00+00:00,1855,-1.98613853757,CNYRUBF:-0.35972821186|USDRUBF:-1.62641032571,SHORT:-1.98613853757,Session_B:-1.98613853757
SESSION_CANDIDATE,31,2024-06-21T07:55:00+00:00,2024-06-26T11:15:00+00:00,2024-06-27T08:55:00+00:00,8700,-2.74214900265,CNYRUBF:-3.18258973544|USDRUBF:0.440440732793,LONG:-2.74214900265,Session_B:-2.74214900265
