direction,variant,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,losing_streak,average_holding_time
LONG,BASELINE,648,0.385802469136,1.08192120021,0.0400248368192,25.9360942588,-41.0900719269,0.631200994366,15,100.023148148
SHORT,BASELINE,483,0.360248447205,1.25752475466,0.127524132629,61.59415606,-30.1885447452,2.04031550973,16,103.271221532
LONG,SESSION_CANDIDATE,466,0.388412017167,1.14980172924,0.0722144681906,33.6519421768,-33.2907953455,1.01084824882,17,80.0858369099
SHORT,SESSION_CANDIDATE,348,0.379310344828,1.47197087853,0.228249787387,79.4309260108,-20.3576605673,3.90177082225,16,76.882183908
LONG,EMA50_NORMAL,54,0.37037037037,0.589849060551,-0.21319390288,-11.5124707555,-13.8963241845,-0.828454388564,6,113.055555556
SHORT,EMA50_NORMAL,29,0.344827586207,2.16522045543,0.488042306644,14.1532268927,-7.02020621193,2.0160699651,9,100.689655172
