variant,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,top_1_positive_R_concentration,top_5_positive_R_concentration
SESSION_CANDIDATE,814,1.28778699992,0.138922442491,113.082868188,-24.2580243788,4.66166850283,0.0325212334836,0.098998345954
EMA50_NEAR,18,1.36168209933,0.152048911692,2.73688041046,-5.33907683405,0.512613040705,0.302613910439,0.910995823731
EMA50_NORMAL,83,1.0656655282,0.0318163390016,2.64075613713,-17.2844203908,0.152782452487,0.253502488019,0.536994923982
EMA50_EXTENDED,1030,1.16171986339,0.0797598191953,82.1526137712,-31.4219625765,2.61449658249,0.0278854241421,0.0813052995848
SESSION_EMA50_NORMAL,65,1.17255575077,0.07964247395,5.17676080675,-11.0622649406,0.467965722621,0.308838786455,0.567873368612
SESSION_EMA50_EXTENDED,734,1.29608828198,0.143814863593,105.560109877,-25.2297774713,4.18394930343,0.0356142244737,0.0989638506937
