configuration_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,concentration_top_1,concentration_top_5,top_five_trade_dependency_net_R,top_five_trade_dependency_PF,adx_threshold,atr_average_period,breakout_period,ema_period,stop_atr,trail_atr
T3-M5-0000-eb17737ebf56,1363,1.06764735261,0.0345733843233,47.1235228326,-56.143532107,0.839340188694,0.360968451944,101.647101981,20,0.646901894766,1.44834252753,0.0221269684818,0.0710855072118,-5.74483718181,0.991753099023,15,20,20,75,2,3
T3-M5-0001-e79c6ccdc36c,1181,1.12740974972,0.0632371395963,74.6830618633,-29.5173908799,2.53013764553,0.360711261643,93.3784928027,14,0.627578053172,1.52379562909,0.0249020700736,0.079249406178,22.311291466,1.03806319654,20,10,20,75,2,3
T3-M5-0002-d9ba4217a7c3,1515,1.11317563777,0.0562068409887,85.1533640979,-53.1406577139,1.60241456845,0.374257425743,105.059405941,15,0.636509712086,1.4349535317,0.0196482618282,0.0659353068283,29.9290177543,1.03977806054,20,20,10,75,2,3
T3-M5-0003-9b1e60957d91,1118,1.1359661715,0.0679309573251,75.9468102895,-51.1202783968,1.48564938751,0.366726296959,100.666368515,15,0.634928262376,1.47888848835,0.0259353803448,0.0816601509817,24.1319601262,1.04320300243,20,20,20,100,2,3
T3-M5-0004-ef25bc83a9b8,1097,1.15352098648,0.0767526963568,84.1977079034,-56.5543783885,1.48879203171,0.364630811304,97.8988149499,12,0.635306755922,1.48003072049,0.0260122951192,0.0819023248775,32.3828577402,1.05904493589,20,20,20,150,2,3
T3-M5-0005-6e0dd817f5a7,1078,1.14462624734,0.0724737157446,78.1266655727,-63.483329173,1.23066427975,0.361781076067,98.2050092764,12,0.634110291717,1.47584861687,0.0266146535617,0.0837989109581,26.3118154095,1.04870781436,20,20,20,200,2,3
T3-M5-0006-8b22fd2c7e81,1143,1.16233182094,0.0793852370016,90.7373258928,-42.1189165444,2.15431291536,0.37532808399,100.170603675,13,0.625294058441,1.5043099537,0.0224793984779,0.0710026463714,44.6069515245,1.0798031857,20,20,20,50,2,3
T3-M5-0007-b8b39c21f8a1,1201,1.12269997073,0.0750063500794,90.0826264454,-58.5792003121,1.53779201432,0.332223147377,82.4521232306,15,0.722447624266,1.81025952361,0.0266204341378,0.0838171116828,20.9961595611,1.0285985019,20,20,20,75,1.5,3
T3-M5-0008-db103492d13d,1217,1.08848994998,0.040555696185,49.3562822572,-36.0150117058,1.3704363797,0.369761709121,75.2218570255,15,0.58275067736,1.29863809519,0.024698909031,0.0786854538357,1.58494845619,1.00284162427,20,20,20,75,2,2.5
T3-M5-0009-d68849409a80,1341,1.05989658663,0.0237292632714,31.8209420469,-29.7564009397,1.0693814118,0.371364653244,50.1267710664,14,0.496943465713,1.0908112242,0.0210064533308,0.075565715989,-10.7290275562,0.979804742187,20,20,20,75,2,2
