configuration_id,neighbor_count,similar_neighbor_count,classification
T3-M5-0000-eb17737ebf56,1,0,LOCAL_PEAK
T3-M5-0001-e79c6ccdc36c,1,1,LOCAL_PEAK
T3-M5-0002-d9ba4217a7c3,1,0,LOCAL_PEAK
T3-M5-0003-9b1e60957d91,2,2,ROBUST_PLATEAU
T3-M5-0004-ef25bc83a9b8,2,2,ROBUST_PLATEAU
T3-M5-0005-6e0dd817f5a7,1,1,LOCAL_PEAK
T3-M5-0006-8b22fd2c7e81,1,1,LOCAL_PEAK
T3-M5-0007-b8b39c21f8a1,1,1,LOCAL_PEAK
T3-M5-0008-db103492d13d,2,0,LOCAL_PEAK
T3-M5-0009-d68849409a80,1,0,LOCAL_PEAK
T3-M5-0010-938b6b3b78f6,12,8,ROBUST_PLATEAU
T3-M5-0011-76dd2f3526c3,2,2,ROBUST_PLATEAU
T3-M5-0012-a1c4a1e2e83c,1,1,LOCAL_PEAK
T3-M5-0013-4dff97e36238,2,2,ROBUST_PLATEAU
T3-M5-0014-1fd24e14c155,1,1,LOCAL_PEAK
T3-M5-0015-924083b3822d,2,2,ROBUST_PLATEAU
T3-M5-0016-98c3349eff3f,2,2,ROBUST_PLATEAU
T3-M5-0017-737e6c59a803,1,1,LOCAL_PEAK
T3-M5-0018-ab666f9016c3,2,0,LOCAL_PEAK
T3-M5-0019-7507864f8bc2,1,0,LOCAL_PEAK
T3-M5-0020-816e9e819790,2,1,LOCAL_PEAK
T3-M5-0021-0912e76c7e11,1,1,LOCAL_PEAK
