direction,total_trades,PF,expectancy,net_R,max_drawdown,win_rate,average_win,average_loss,recovery_factor
LONG,169,1.78059027306,0.377811845165,63.8502018328,-16.2706745538,0.402366863905,2.14187549964,-0.809874575668,3.92425044345
SHORT,158,1.00636085062,0.00307004153399,0.48506656237,-16.6977003203,0.341772151899,1.42117027467,-0.733251233366,0.0290499022659
