trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe_pair,net_R
T2-Si-000009,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-07-12 18:00:00+03:00,2023-07-12 19:00:00+03:00,2023-07-12 19:00:00+03:00,90.79,90.3902920935,0.3997079065,399.7079065,2023-07-13 11:00:00+03:00,90.4952195934,ATR_TRAILING_STOP,7,-0.737489556373,0.00500365383691,-0.74249321021,0.125091345923,1.25091345923,2023-07-12 15:00:00+03:00,1,2614.07867885,USDRUBF,T2,H4_H1,-0.74249321021
T2-Si-000010,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-07-31 14:00:00+03:00,2023-07-31 15:00:00+03:00,2023-07-31 15:00:00+03:00,91.45,91.098032462,0.351967537958,351.967537958,2023-08-02 10:00:00+03:00,92.050632124,ATR_TRAILING_STOP,25,1.7064986377,0.00568234221714,1.70081629548,0.3977639552,3.3809936192,2023-07-31 11:00:00+03:00,1,2946.60652182,USDRUBF,T2,H4_H1,1.70081629548
T2-CNY-000004,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-08-03 11:00:00+03:00,2023-08-03 13:00:00+03:00,2023-08-03 13:00:00+03:00,13.04,12.9745221939,0.0654778060709,65.4778060709,2023-08-07 18:00:00+03:00,13.3100817848,ATR_TRAILING_STOP,35,4.12478366297,0.0305447008691,4.0942389621,0.305447008691,6.87255769555,2023-08-03 10:00:00+03:00,2,15646.9243822,CNYRUBF,T2,H4_H1,4.0942389621
T2-Si-000011,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-08-03 11:00:00+03:00,2023-08-03 13:00:00+03:00,2023-08-03 13:00:00+03:00,93.62,93.2538095853,0.366190414749,366.190414749,2023-08-07 18:00:00+03:00,95.6151341074,ATR_TRAILING_STOP,35,5.44835153246,0.00546163940794,5.44288989305,0.436931152635,8.82054764382,2023-08-03 10:00:00+03:00,2,2880.32983264,USDRUBF,T2,H4_H1,5.44288989305
T2-Si-000012,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-08-08 00:00:00+03:00,2023-08-08 10:00:00+03:00,2023-08-08 10:00:00+03:00,95.65,95.0897385654,0.560261434558,560.261434558,2023-08-09 19:00:00+03:00,96.7222435277,ATR_TRAILING_STOP,24,1.91382711992,0.00356976203721,1.91025735788,0.303429773163,4.01598229186,2023-08-07 17:00:00+03:00,1,1985.06972589,USDRUBF,T2,H4_H1,1.91025735788
T2-CNY-000005,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-08-08 00:00:00+03:00,2023-08-08 11:00:00+03:00,2023-08-08 11:00:00+03:00,13.29,13.213996717,0.0760032829568,76.0032829568,2023-08-09 20:00:00+03:00,13.4048542617,ATR_TRAILING_STOP,24,1.51117500787,0.0263146527649,1.4848603551,0.526293055298,3.81562465091,2023-08-07 16:00:00+03:00,2,14031.9311609,CNYRUBF,T2,H4_H1,1.4848603551
T2-CNY-000006,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-08-10 11:00:00+03:00,2023-08-10 12:00:00+03:00,2023-08-10 12:00:00+03:00,13.48,13.3643363147,0.115663685262,115.663685262,2023-08-14 18:00:00+03:00,13.7967419722,ATR_TRAILING_STOP,36,2.7384738042,0.0172915119855,2.72118229222,0.778118039347,4.23642043645,2023-08-09 18:00:00+03:00,1,9357.37491254,CNYRUBF,T2,H4_H1,2.72118229222
T2-Si-000013,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-08-10 10:00:00+03:00,2023-08-10 12:00:00+03:00,2023-08-10 12:00:00+03:00,97.13,96.3399640158,0.790035984165,790.035984165,2023-08-14 18:00:00+03:00,100.316099135,ATR_TRAILING_STOP,36,4.0328531849,0.00253153025949,4.03032165464,0.632882564873,5.68328543256,2023-08-09 18:00:00+03:00,2,1434.62211254,USDRUBF,T2,H4_H1,4.03032165464
T2-CNY-000007,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-09-14 16:00:00+03:00,2023-09-14 17:00:00+03:00,2023-09-14 17:00:00+03:00,13.23,13.1144082668,0.115591733154,115.591733154,2023-09-15 14:00:00+03:00,13.2297567709,ATR_TRAILING_STOP,12,-0.00210420854864,0.0173022753914,-0.01940648394,0.0865113769569,1.38418203131,2023-09-14 14:00:00+03:00,1,9617.98930402,CNYRUBF,T2,H4_H1,-0.01940648394
T2-Si-000014,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-09-14 17:00:00+03:00,2023-09-14 19:00:00+03:00,2023-09-14 19:00:00+03:00,96.9,95.9495058714,0.950494128631,950.494128631,2023-09-15 14:00:00+03:00,96.1621080378,ATR_TRAILING_STOP,10,-0.776324587373,0.00210416870526,-0.778428756078,0.68385482921,0.305104462263,2023-09-14 14:00:00+03:00,2,1240.49465151,USDRUBF,T2,H4_H1,-0.778428756078
