instrument,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_hours,losing_streak,average_MAE_R,average_MFE_R
USDRUBF,35,2.4482573322,0.776037304265,27.1613056493,-10.6258816225,2.55614607938,0.314285714286,32.8857142857,14,0.439558943972,2.78360072604
CNYRUBF,29,1.95059947603,0.464219464799,13.4623644792,-4.97252510956,2.70734972324,0.344827586207,38.1034482759,7,0.493791579035,2.15712929853
