version,configuration_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,concentration_top_1,concentration_top_5,top_five_trade_dependency_net_R,top_five_trade_dependency_PF,adx_threshold,atr_average_period,breakout_period,ema_period,stop_atr,trail_atr
baseline,T3-M15-0010-938b6b3b78f6,425,1.54244483808,0.237046699065,100.744847102,-33.0753212176,3.04592195613,0.397647058824,538.729411765,13,0.610300375408,1.66120182893,0.02926416987,0.129882161074,63.5376967818,1.34210876917,20,20,20,75,2,3
optimized,T3-M15-0011-76dd2f3526c3,401,1.6401650508,0.30296684734,121.489705784,-31.3013677528,3.88129064337,0.403990024938,663.329177057,12,0.653192295457,1.87610535386,0.0419819320762,0.14364636036,76.7771289087,1.40456131086,20,20,20,75,2,3.5
