parameter,value,configurations,positive_share,mean_expectancy_R,min_expectancy_R,max_expectancy_R
ema_period,50,1,1,0.194741974293,0.194741974293,0.194741974293
ema_period,75,18,1,0.235628823369,0.0864992327034,0.372553159328
ema_period,100,1,1,0.225086251161,0.225086251161,0.225086251161
ema_period,150,1,1,0.254111402839,0.254111402839,0.254111402839
ema_period,200,1,1,0.240091818476,0.240091818476,0.240091818476
adx_threshold,15,1,1,0.183343535089,0.183343535089,0.183343535089
adx_threshold,20,19,1,0.234581455534,0.0864992327034,0.372553159328
adx_threshold,25,1,1,0.226289625348,0.226289625348,0.226289625348
adx_threshold,30,1,1,0.288669451839,0.288669451839,0.288669451839
breakout_period,10,1,1,0.250858468928,0.250858468928,0.250858468928
breakout_period,20,18,1,0.233835475214,0.0864992327034,0.372553159328
breakout_period,30,1,1,0.206843051492,0.206843051492,0.206843051492
breakout_period,40,1,1,0.21177269366,0.21177269366,0.21177269366
breakout_period,55,1,1,0.276837499475,0.276837499475,0.276837499475
atr_average_period,10,1,1,0.275351993575,0.275351993575,0.275351993575
atr_average_period,20,19,1,0.230666171224,0.0864992327034,0.372553159328
atr_average_period,30,1,1,0.229756316938,0.229756316938,0.229756316938
atr_average_period,50,1,1,0.267584703653,0.267584703653,0.267584703653
stop_atr,1.5,1,1,0.281601670938,0.281601670938,0.281601670938
stop_atr,2,19,1,0.236336481581,0.0864992327034,0.372553159328
stop_atr,2.5,1,1,0.205916653436,0.205916653436,0.205916653436
stop_atr,3,1,1,0.177438792996,0.177438792996,0.177438792996
trail_atr,2,1,1,0.0864992327034,0.0864992327034,0.0864992327034
trail_atr,2.5,1,1,0.159988424842,0.159988424842,0.159988424842
trail_atr,3,18,1,0.235185700178,0.177438792996,0.288669451839
trail_atr,3.5,1,1,0.30296684734,0.30296684734,0.30296684734
trail_atr,4,1,1,0.372553159328,0.372553159328,0.372553159328
