direction,total_trades,PF,expectancy,net_R,max_drawdown,win_rate,average_win,average_loss,recovery_factor
LONG,222,2.01904245622,0.512648126999,113.807884194,-14.3989553852,0.324324324324,3.13179283375,-0.744541332239,7.90389866132
SHORT,215,1.23730641903,0.121876486198,26.2034445326,-22.5471235409,0.344186046512,1.84626673553,-0.783122651751,1.16216352321
