direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,top_1_positive_R_concentration,top_5_positive_R_concentration,net_R_without_top5,PF_without_top5
LONG,236,1.58786211936,0.279196270618,65.8903198659,-26.7934037004,2.459199309,0.402542372881,780.31779661,14,0.645166215198,1.82864136626,0.0452471167856,0.19718700212,30.7959691162,1.27475634827
SHORT,165,1.71561940065,0.336965975258,55.5993859177,-13.961853533,3.98223529463,0.406060606061,496,10,0.664672022373,1.94399323915,0.0980366939338,0.29444838739,16.3513419048,1.21045803475
