trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe,net_R,year
T3-M15-CNY-000004,T3,CNY,LONG,2023-02-08 15:15:00+03:00,10.6,10.5581069152,0.0418930848429,2023-02-09 14:00:00+03:00,10.7205957507,ATR_TRAILING_STOP,55,2835.20769729,2.87865529918,0.01,0.2,0.238702879903,4.77405759805,0.120595750682,2.87865529918,23510.0132572,0,2835.20769729,0.001,41.8930848429,0,T3_MTF_Trend_v1.0,0.0418930848429,CNYRUBF,M15,2.8309147232,2023
T3-M15-CNY-000005,T3,CNY,LONG,2023-02-09 18:00:00+03:00,10.78,10.7416621837,0.0383378163072,2023-02-10 09:15:00+03:00,10.7459774124,ATR_TRAILING_STOP,25,-899.208622334,-0.887441978545,0.0340225875567,0.01,0.887441978545,0.260839060834,-0.0340225875567,-0.887441978545,26429.7540813,0,-899.208622334,0.001,38.3378163072,0,T3_MTF_Trend_v1.0,0.0383378163072,CNYRUBF,M15,-0.939609790712,2023
T3-M15-Si-000009,T3,Si,LONG,2023-02-10 20:30:00+03:00,73.48,73.2537420788,0.226257921206,2023-02-10 23:30:00+03:00,73.2537420788,ATR_TRAILING_STOP,12,-1082.43158627,-1,0.226257921206,0.07,1,0.309381433485,-0.226257921206,-1,4784.06051158,0,-1082.43158627,0.001,226.257921206,0,T3_MTF_Trend_v1.0,0.226257921206,USDRUBF,M15,-1.00883946953,2023
T3-M15-CNY-000006,T3,CNY,LONG,2023-02-13 13:45:00+03:00,10.8,10.7637856069,0.0362143930851,2023-02-13 19:30:00+03:00,10.7779800203,ATR_TRAILING_STOP,23,-610.639482951,-0.608044972814,0.03,0.03,0.828399910762,0.828399910762,-0.0220199796589,-0.608044972814,27731.1556327,0,-610.639482951,0.001,36.2143930851,0,T3_MTF_Trend_v1.0,0.0362143930851,CNYRUBF,M15,-0.663271633532,2023
T3-M15-Si-000010,T3,Si,LONG,2023-02-13 11:30:00+03:00,73.65,73.4204363095,0.229563690501,2023-02-13 19:45:00+03:00,73.5803636294,ATR_TRAILING_STOP,33,-325.063779964,-0.303342268142,0.14,0.2,0.609852541116,0.87121791588,-0.0696363705597,-0.303342268142,4668.01726384,0,-325.063779964,0.001,229.563690501,0,T3_MTF_Trend_v1.0,0.229563690501,USDRUBF,M15,-0.312054447301,2023
T3-M15-CNY-000007,T3,CNY,LONG,2023-02-15 12:00:00+03:00,10.84,10.8064517883,0.0335482116696,2023-02-15 17:15:00+03:00,10.8466212721,ATR_TRAILING_STOP,21,197.002832833,0.197365872364,0.01,0.07,0.298078481753,2.08654937227,0.00662127206241,0.197365872364,29753.0189028,0,197.002832833,0.001,33.5482116696,0,T3_MTF_Trend_v1.0,0.0335482116696,CNYRUBF,M15,0.137750176013,2023
T3-M15-Si-000011,T3,Si,LONG,2023-02-15 11:15:00+03:00,73.93,73.7495943039,0.180405696135,2023-02-15 17:15:00+03:00,74.1217134322,ATR_TRAILING_STOP,24,1135.32067585,1.06267948473,0.01,0.51,0.0554306222822,2.82696173639,0.19171343221,1.06267948473,5921.96729649,0,1135.32067585,0.001,180.405696135,0,T3_MTF_Trend_v1.0,0.180405696135,USDRUBF,M15,1.05159336027,2023
T3-M15-Si-000012,T3,Si,LONG,2023-02-20 17:15:00+03:00,74.46,74.1884413584,0.271558641596,2023-02-21 09:30:00+03:00,74.5926435602,ATR_TRAILING_STOP,29,527.387220202,0.48845273144,0.07,0.45,0.257771211362,1.65710064447,0.132643560234,0.48845273144,3975.97304591,0,527.387220202,0.001,271.558641596,0,T3_MTF_Trend_v1.0,0.271558641596,USDRUBF,M15,0.481087839686,2023
T3-M15-CNY-000008,T3,CNY,SHORT,2023-02-27 13:00:00+03:00,10.77,10.8207273736,0.0507273735808,2023-02-28 09:45:00+03:00,10.7021262202,ATR_TRAILING_STOP,47,1338.18567053,1.33801092057,0.03,0.15,0.591396673676,2.95698336838,0.0678737798228,1.33801092057,19715.7970872,0,1338.18567053,0.001,50.7273735808,0,T3_MTF_Trend_v1.0,0.0507273735808,CNYRUBF,M15,1.29858447566,2023
T3-M15-Si-000013,T3,Si,SHORT,2023-03-13 14:00:00+03:00,75.18,75.3921065234,0.212106523372,2023-03-13 15:15:00+03:00,75.3596731005,ATR_TRAILING_STOP,4,-919.0777555,-0.847088989169,0.179673100479,0.22,0.847088989169,1.03721468111,-0.179673100479,-0.847088989169,5115.27742911,0,-919.0777555,0.001,212.106523372,0,T3_MTF_Trend_v1.0,0.212106523372,USDRUBF,M15,-0.856518213543,2023
