instrument,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,top_1_positive_R_concentration,top_5_positive_R_concentration,net_R_without_top5,PF_without_top5
USDRUBF,213,1.76809862283,0.348032651583,74.1309547873,-18.0871463647,4.09854342375,0.403755868545,671.126760563,7,0.648426236499,1.9023666069,0.047069494431,0.202614850329,39.5560998779,1.40985558499
CNYRUBF,188,1.50777914455,0.25190824998,47.3587509963,-17.6627030723,2.68128557688,0.404255319149,654.494680851,9,0.65859213885,1.84635191292,0.0929253878767,0.283210559967,7.5322130922,1.08076016871
