year,version,trades,PF,expectancy_R,net_R,max_drawdown_R
2023,baseline,196,2.17903077704,0.453984117359,88.9808870024,-8.95890865812
2023,optimized,185,2.17662197805,0.504622033156,93.3550761339,-9.51259003346
2024,baseline,229,1.106698568,0.051371004804,11.7639601001,-33.0753212176
2024,optimized,216,1.25475700714,0.130252915045,28.1346296496,-31.3013677528
