configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,USDRUBF_trades,USDRUBF_expectancy_C1,CNYRUBF_trades,CNYRUBF_expectancy_C1,GLDRUBF_trades,GLDRUBF_expectancy_C1,IMOEXF_trades,IMOEXF_expectancy_C1,Y2023_trades,Y2023_expectancy_C1,Y2024_trades,Y2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
T3-M30-782a150195d6,398,1.76921819082,0.327726745964,130.435244894,-17.6351499586,7.39632184587,0.437185929648,122,0.527105291976,119,0.215066634774,94,0.146597138569,63,0.424687916018,152,0.402249995631,246,0.281679859991,243,0.2995301342,155,0.371931756667,0.0333697978227,0.0813678318523,0.121877822947,0.213017162622,120.424177539,1.71017973749,0.303335459797,106.024583209,1.62526074256,0.268416666351,93.8714304829,1.55358972941,0.238858601738
T3-M30-aeef6145060a,410,1.77809837888,0.334835222477,137.282441216,-17.028162348,8.06208200336,0.441463414634,124,0.480132705667,126,0.205973018532,94,0.203771565134,66,0.494528155385,162,0.379189170093,248,0.305862079277,235,0.354221852627,175,0.308801747705,0.031911271902,0.0856228439384,0.126988579219,0.215495470654,127.271373861,1.72135699804,0.311176953206,110.42120985,1.62585253888,0.271305183907,97.4441287946,1.55230019203,0.240602787147
T3-M30-0050d828c1a8,406,1.73095694796,0.313218628869,127.166763321,-20.4214749602,6.22710962693,0.433497536946,122,0.531330431306,120,0.191949418578,97,0.156131082932,67,0.360683663104,158,0.387398532869,248,0.265958851321,244,0.30065979487,162,0.332134403536,0.0332439253091,0.0810609084009,0.121418093823,0.212213651439,117.155695967,1.67341314447,0.289273323374,102.756101636,1.59064400536,0.254977919692,90.60294891,1.52078745485,0.225942515985
T3-M30-e465514e7d09,386,1.62170751806,0.272441430538,105.162392188,-19.200946105,5.47693804321,0.419689119171,120,0.46165531091,119,0.117461624418,86,0.119618720123,61,0.418010026924,139,0.329178957439,247,0.240512214995,236,0.259231891157,150,0.293224439165,0.0285135848063,0.080372020356,0.125327729988,0.225002632142,97.3407365936,1.57546682321,0.252833082061,83.1152779122,1.49136760841,0.217011169484,70.7833287685,1.41846259611,0.18578301514
T3-M30-ce4f64b5cf6f,375,1.42699807524,0.193916031152,72.7185116822,-24.5665836965,2.9600579625,0.408,116,0.372892326216,116,0.0257609389753,81,0.0828281310642,62,0.318800875867,128,0.183325373657,247,0.199404307101,234,0.146426060009,141,0.272729174753,0.0321852018685,0.0829297364297,0.128604360285,0.234857079798,64.896856088,1.38106985412,0.173521005583,52.5649069443,1.30865750097,0.141303513291,41.4650487347,1.24347990064,0.112067699283
T3-M30-0e8b28aef6af,443,1.71012537041,0.302297714057,133.917887327,-20.0621378117,6.67515538892,0.435665914221,136,0.515459093023,136,0.143576244218,104,0.163174700535,67,0.407744964279,169,0.34259222389,274,0.277444530984,264,0.304191822766,179,0.29950416825,0.0310419412645,0.0806843009731,0.120923146008,0.207018922255,123.906819973,1.65703975911,0.280332171884,107.897092925,1.57214510032,0.245220665739,94.9200118699,1.50333163055,0.216712355867
T3-M30-8f50652483e0,331,1.96830671378,0.398470798873,131.893834427,-13.1232162984,10.0504199144,0.453172205438,103,0.579983718284,99,0.31260994312,77,0.253641340161,52,0.416860459274,128,0.484123973804,203,0.344462885616,203,0.363887973405,128,0.453316998637,0.037340150002,0.0958495791851,0.140020077247,0.242003212794,121.882767073,1.89480984584,0.369341718402,106.196117812,1.77964534356,0.323768651866,94.353802472,1.69270425567,0.289428841939
T3-M30-59bb19b16087,251,1.88812364431,0.376392176018,94.4744361805,-10.4730048164,9.02075744608,0.462151394422,84,0.459527378178,81,0.328694308876,51,0.228081738915,35,0.503363677427,102,0.322525796751,149,0.41326714706,163,0.261168730124,88,0.589817422389,0.0389428186164,0.105060957828,0.160337831632,0.287166826996,86.6527805864,1.81459478771,0.346611122345,73.3729684974,1.68975556574,0.295858743941,62.270621914,1.58538599333,0.253132609406
T3-M30-fde65b87e674,527,1.7034283383,0.30768843988,162.151807817,-17.2662006131,9.39128482582,0.413662239089,156,0.537970333765,156,0.247806633074,122,0.161162197377,93,0.214073257097,190,0.416190836708,337,0.246514981728,318,0.306258020496,209,0.309864867461,0.0254949744321,0.0678607306091,0.104922049317,0.179717903044,152.140740463,1.65999947637,0.28924095145,135.505052526,1.58783244672,0.258597428485,120.952248842,1.52470114618,0.23170928897
T3-M30-d6feb972db57,341,1.93094457407,0.376193476605,128.281975522,-15.012134415,8.54521895261,0.454545454545,104,0.596841887079,99,0.272441005258,80,0.195361667183,58,0.407065971914,131,0.455063193545,210,0.326993796038,209,0.337958257864,132,0.436732572945,0.0376243287958,0.0917419420782,0.13667076767,0.237812461904,118.270908168,1.85829408052,0.347855612259,103.871313837,1.7537959688,0.3073115794,91.9166687034,1.6670408968,0.273561513998
