parameter,value,configurations,positive_C1_share,mean_expectancy_C1
ema_period,50,1,1,0.334835222477
ema_period,75,1,1,0.313218628869
ema_period,100,18,1,0.330036603635
ema_period,150,1,1,0.272441430538
ema_period,200,1,1,0.193916031152
adx_threshold,15,1,1,0.302297714057
adx_threshold,20,19,1,0.314626815238
adx_threshold,25,1,1,0.398470798873
adx_threshold,30,1,1,0.376392176018
breakout_period,10,1,1,0.30768843988
breakout_period,20,18,1,0.312561599919
breakout_period,30,1,1,0.376193476605
breakout_period,40,1,1,0.371281999506
breakout_period,55,1,1,0.373797463944
atr_average_period,10,1,1,0.334321561046
atr_average_period,20,19,1,0.319655281284
atr_average_period,30,1,1,0.340503890955
atr_average_period,50,1,1,0.306794382069
stop_atr,1.5,1,1,0.437519266211
stop_atr,2,19,1,0.320973037543
stop_atr,2.5,1,1,0.272471361321
stop_atr,3,1,1,0.246591837614
trail_atr,2,1,1,0.132024423682
trail_atr,2.5,1,1,0.235351584588
trail_atr,3,18,1,0.327025690394
trail_atr,3.5,1,1,0.385070126276
trail_atr,4,1,1,0.416161616823
