configuration_id,neighbor_ids,neighbor_count,positive_neighbors,stable_positive_neighbors,stability_tolerance,expectancy_C1,PF_C1,classification
T3-M30-782a150195d6,T3-M30-0050d828c1a8;T3-M30-e465514e7d09;T3-M30-0e8b28aef6af;T3-M30-8f50652483e0;T3-M30-fde65b87e674;T3-M30-d6feb972db57;T3-M30-0ceadfe6ba89;T3-M30-aeeb96942cf3;T3-M30-5ce129d7f93a;T3-M30-4e73cdb77246;T3-M30-d9d86ab01cd1;T3-M30-30681f09c487,12,12,12,0.114704361088,0.327726745964,1.76921819082,ROBUST_PLATEAU
T3-M30-aeef6145060a,T3-M30-0050d828c1a8,1,1,1,0.117192327867,0.334835222477,1.77809837888,LOCAL_SPIKE
T3-M30-0050d828c1a8,T3-M30-782a150195d6;T3-M30-aeef6145060a,2,2,2,0.109626520104,0.313218628869,1.73095694796,ROBUST_PLATEAU
T3-M30-e465514e7d09,T3-M30-782a150195d6;T3-M30-ce4f64b5cf6f,2,2,2,0.0953545006884,0.272441430538,1.62170751806,ROBUST_PLATEAU
T3-M30-ce4f64b5cf6f,T3-M30-e465514e7d09,1,1,0,0.0678706109033,0.193916031152,1.42699807524,LOCAL_SPIKE
T3-M30-0e8b28aef6af,T3-M30-782a150195d6,1,1,1,0.10580419992,0.302297714057,1.71012537041,LOCAL_SPIKE
T3-M30-8f50652483e0,T3-M30-782a150195d6;T3-M30-59bb19b16087,2,2,2,0.139464779605,0.398470798873,1.96830671378,ROBUST_PLATEAU
T3-M30-59bb19b16087,T3-M30-8f50652483e0,1,1,1,0.131737261606,0.376392176018,1.88812364431,LOCAL_SPIKE
T3-M30-fde65b87e674,T3-M30-782a150195d6,1,1,1,0.107690953958,0.30768843988,1.7034283383,LOCAL_SPIKE
T3-M30-d6feb972db57,T3-M30-782a150195d6;T3-M30-2e29f26637ab,2,2,2,0.131667716812,0.376193476605,1.93094457407,ROBUST_PLATEAU
T3-M30-2e29f26637ab,T3-M30-d6feb972db57;T3-M30-1bef08206dd9,2,2,2,0.129948699827,0.371281999506,1.90529849681,ROBUST_PLATEAU
T3-M30-1bef08206dd9,T3-M30-2e29f26637ab,1,1,1,0.13082911238,0.373797463944,1.91481706428,LOCAL_SPIKE
T3-M30-0ceadfe6ba89,T3-M30-782a150195d6,1,1,1,0.117012546366,0.334321561046,1.78246507355,LOCAL_SPIKE
T3-M30-aeeb96942cf3,T3-M30-782a150195d6;T3-M30-4e27874898fc,2,2,2,0.119176361834,0.340503890955,1.77142321092,ROBUST_PLATEAU
T3-M30-4e27874898fc,T3-M30-aeeb96942cf3,1,1,1,0.107378033724,0.306794382069,1.68729887116,LOCAL_SPIKE
T3-M30-5ce129d7f93a,T3-M30-782a150195d6,1,1,1,0.153131743174,0.437519266211,1.85763372422,LOCAL_SPIKE
T3-M30-4e73cdb77246,T3-M30-782a150195d6;T3-M30-ff3ccac57cfa,2,2,2,0.0953649764622,0.272471361321,1.77978200514,ROBUST_PLATEAU
T3-M30-ff3ccac57cfa,T3-M30-4e73cdb77246,1,1,1,0.0863071431647,0.246591837614,1.85796475395,LOCAL_SPIKE
T3-M30-65fae596a867,T3-M30-d9d86ab01cd1,1,1,0,0.0462085482886,0.132024423682,1.40063689085,LOCAL_SPIKE
T3-M30-d9d86ab01cd1,T3-M30-782a150195d6;T3-M30-65fae596a867,2,2,0,0.0823730546059,0.235351584588,1.62872635814,LOCAL_SPIKE
T3-M30-30681f09c487,T3-M30-782a150195d6;T3-M30-ea3e58b88e04,2,2,2,0.134774544197,0.385070126276,1.8495581008,ROBUST_PLATEAU
T3-M30-ea3e58b88e04,T3-M30-30681f09c487,1,1,1,0.145656565888,0.416161616823,1.86961529999,LOCAL_SPIKE
