omitted_fold,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
WF01,53,4.16206495461,0.712018125302,37.736960641,-2.28071347231,16.5461208079,0.584905660377,6,3
WF02,46,2.28689653495,0.335448620759,15.4306365549,-2.28071347231,6.76570588207,0.565217391304,6,3
WF03,48,3.68954972841,0.701199488265,33.6575754367,-2.33918741216,14.3885758199,0.5,6,5
WF04,51,3.07095677294,0.550083816579,28.0542746455,-2.33918741216,11.9931710045,0.529411764706,4,5
