direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
LONG,38,2.14217757728,0.308648528541,11.7286440845,-2.474497132,4.73980912439,0.552631578947,5,3
SHORT,28,5.1551225433,0.94873232172,26.5645050082,-1.96689774621,13.5057885237,0.535714285714,5,3
