trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R_C1,fold,fold_start_state
GLDRUBF-000006,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-03-19 22:00:00+03:00,6424,6384.99194193,39.0080580697,2024-03-21 11:00:00+03:00,6522.43982558,ATR_TRAILING_STOP,21,2553.32862123,2.52352540601,16.5,175.7,0.422989526178,4.50419756057,98.439825578,2.52352540601,25.9379636873,0.0518759273746,2553.2767453,0.001,39008.0580697,5.12714577185e-05,T3_MTF_Trend_v1.0,39.0080580697,2.52347413455,WF01,FLAT
IMOEXF-000003,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-03-21 11:00:00+03:00,3298,3278.50812361,19.491876395,2024-03-21 16:00:00+03:00,3278.50812361,ATR_TRAILING_STOP,5,-987.45827074,-1.00010260685,19.491876395,2,1,0.102606848077,-19.491876395,-1.00010260685,50.6599903842,0.101319980768,-987.55959072,0.001,19491.876395,0.000102606848077,T3_MTF_Trend_v1.0,19.491876395,-1.0002052137,WF01,FLAT
GLDRUBF-000007,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-03-25 17:00:00+03:00,6530.6,6464.92752519,65.6724748105,2024-03-26 11:00:00+03:00,6505.20468045,ATR_TRAILING_STOP,10,-401.128980113,-0.386727005903,25.3953195537,38.5,0.386696551744,0.586242563739,-25.3953195537,-0.386727005903,15.7953901413,0.0315907802826,-401.160570894,0.001,65672.4748105,3.04541591553e-05,T3_MTF_Trend_v1.0,65.6724748105,-0.386757460062,WF01,FLAT
CNYRUBF-000001,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-05-21 19:00:00+03:00,12.417,12.4759216338,0.0589216338198,2024-05-22 11:00:00+03:00,12.4392220283,ATR_TRAILING_STOP,8,-377.145487728,-0.411088877793,0.0222220283247,0.044,0.377145487728,0.746754581425,-0.0222220283247,-0.411088877793,16971.6950324,33.9433900648,-411.088877793,0.001,58.9216338198,0.0339433900648,T3_MTF_Trend_v1.0,0.0589216338198,-0.445032267857,WF02,FLAT
USDRUBF-000001,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2024-05-21 19:00:00+03:00,90.1,90.5263586825,0.426358682509,2024-05-22 11:00:00+03:00,90.3048571406,ATR_TRAILING_STOP,8,-480.480752371,-0.485171638431,0.204857140552,0.24,0.480480752371,0.562906327104,-0.204857140552,-0.485171638431,2345.4430296,4.6908860592,-485.171638431,0.001,426.358682509,0.0046908860592,T3_MTF_Trend_v1.0,0.426358682509,-0.48986252449,WF02,FLAT
GLDRUBF-000001,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-05-23 19:00:00+03:00,6767.7,6830.1050316,62.4050316042,2024-05-27 10:00:00+03:00,6768.77747583,ATR_TRAILING_STOP,23,-17.2658486588,-0.0172978973566,11.8,47.7,0.189087317107,0.764361442881,-1.07747583122,-0.0172978973566,16.0243489074,0.0320486978147,-17.2978973566,0.001,62405.0316042,3.20486978147e-05,T3_MTF_Trend_v1.0,62.4050316042,-0.0173299460544,WF02,FLAT
CNYRUBF-000002,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-05-24 11:00:00+03:00,12.338,12.3805825027,0.042582502742,2024-05-27 16:00:00+03:00,12.2252704834,ATR_TRAILING_STOP,21,2636.43728863,2.60035247922,0.013,0.186,0.305289712039,4.36799126456,0.112729516577,2.60035247922,23387.2846144,46.7745692289,2589.6627194,0.001,42.582502742,0.046967648006,T3_MTF_Trend_v1.0,0.042582502742,2.55338483122,WF02,FLAT
IMOEXF-000001,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-05-24 15:00:00+03:00,3387,3415.03287874,28.0328787406,2024-05-28 11:00:00+03:00,3337.19573026,ATR_TRAILING_STOP,26,1776.63771906,1.77656637427,26,92.5,0.927482341025,3.29969679019,49.8042697445,1.77656637427,35.6723977317,0.0713447954635,1776.56637427,0.001,28032.8787406,7.13447954635e-05,T3_MTF_Trend_v1.0,28.0328787406,1.77649502947,WF02,FLAT
USDRUBF-000002,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2024-05-27 12:00:00+03:00,88.66,89.1458365813,0.48583658131,2024-05-28 16:00:00+03:00,88.8364360832,ATR_TRAILING_STOP,20,-361.397375424,-0.367275932011,0.38,0.32,0.782156005987,0.658657689252,-0.176436083206,-0.367275932011,2048.31896547,4.09663793093,-365.494013355,0.001,485.83658131,0.00411661055783,T3_MTF_Trend_v1.0,0.48583658131,-0.371392542569,WF02,FLAT
IMOEXF-000002,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-05-29 16:00:00+03:00,3291,3328.05627662,37.0562766245,2024-05-29 19:00:00+03:00,3328.05627662,ATR_TRAILING_STOP,3,-1017.76566374,-1.00005397196,37.0562766245,5,1,0.134929908114,-37.0562766245,-1.00005397196,27.4654054981,0.0549308109962,-1017.82059455,0.001,37056.2766245,5.39719632457e-05,T3_MTF_Trend_v1.0,37.0562766245,-1.00010794393,WF02,FLAT
GLDRUBF-000002,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-05-31 21:00:00+03:00,6639.1,6704.62896892,65.5289689196,2024-06-03 21:00:00+03:00,6678.11176853,ATR_TRAILING_STOP,15,-595.233237366,-0.595366738866,39.011768527,33.1,0.595336218014,0.50512011017,-39.011768527,-0.595366738866,15.2577865562,0.0305155731125,-595.263752939,0.001,65528.9689196,3.05208525782e-05,T3_MTF_Trend_v1.0,65.5289689196,-0.595397259719,WF02,FLAT
IMOEXF-000003,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-05-30 19:00:00+03:00,3280.5,3317.33226441,36.8322644116,2024-06-04 00:00:00+03:00,3162.47433517,ATR_TRAILING_STOP,35,3228.72300906,3.20435538559,9,189,0.244350982591,5.1313706344,118.02566483,3.20435538559,27.3561094843,0.0547122189686,3228.66829684,0.001,36832.2644116,5.43002183535e-05,T3_MTF_Trend_v1.0,36.8322644116,3.20430108537,WF02,FLAT
CNYRUBF-000003,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-06-03 13:00:00+03:00,12.289,12.3677004537,0.0787004536995,2024-06-05 11:00:00+03:00,12.2607367524,ATR_TRAILING_STOP,30,366.948117037,0.333711514253,0.014,0.098,0.177889698749,1.24522789124,0.0282632475765,0.333711514253,12983.2255138,25.9664510275,340.981666009,0.001,78.7004536995,0.025412814107,T3_MTF_Trend_v1.0,0.0787004536995,0.308298700146,WF02,FLAT
USDRUBF-000003,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2024-06-03 13:00:00+03:00,89.34,89.9281731302,0.588173130173,2024-06-06 13:00:00+03:00,88.9625306942,ATR_TRAILING_STOP,48,636.306361005,0.638365281531,0.13,0.81,0.221023357462,1.37714553496,0.377469305832,0.638365281531,1685.71682829,3.37143365658,632.934927348,0.001,588.173130173,0.00340035934557,T3_MTF_Trend_v1.0,0.588173130173,0.634964922186,WF02,FLAT
CNYRUBF-000004,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-06-10 15:00:00+03:00,12.203,12.2698042511,0.0668042510792,2024-06-11 11:00:00+03:00,12.2231818372,ATR_TRAILING_STOP,12,-309.715765803,-0.332042300199,0.0201818371914,0.048,0.302104085674,0.718517148603,-0.0201818371914,-0.332042300199,15346.262229,30.6925244581,-340.408290261,0.001,66.8042510792,0.0299382145251,T3_MTF_Trend_v1.0,0.0668042510792,-0.361980514724,WF02,FLAT
GLDRUBF-000003,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-06-07 23:00:00+03:00,6567,6637.69272433,70.6927243342,2024-06-11 11:00:00+03:00,6606.68299237,ATR_TRAILING_STOP,20,-557.90620531,-0.561373079663,39.6829923693,15.2,0.561344788209,0.215015054847,-39.6829923693,-0.561373079663,14.059075992,0.028118151984,-557.934323462,0.001,70692.7243342,2.82914545851e-05,T3_MTF_Trend_v1.0,70.6927243342,-0.561401371118,WF02,FLAT
USDRUBF-000004,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2024-06-17 13:00:00+03:00,88.93,89.6716139348,0.741613934838,2024-06-18 13:00:00+03:00,87.6616203736,ATR_TRAILING_STOP,15,1706.57253702,1.70759955676,0.2,2.49,0.269682095501,3.35754208899,1.26837962641,1.70759955676,1345.4745736,2.69094914721,1703.88158787,0.001,741.613934838,0.00269682095501,T3_MTF_Trend_v1.0,0.741613934838,1.7049027358,WF02,FLAT
CNYRUBF-000005,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-06-17 15:00:00+03:00,12.106,12.1839297457,0.0779297457089,2024-06-19 12:00:00+03:00,11.1569341422,ATR_TRAILING_STOP,27,12443.8671165,12.1528159649,0,1.261,0,16.1812410464,0.949065857795,12.1528159649,13111.7003254,26.2234006509,12417.6437159,0.001,77.9297457089,0.0256641412314,T3_MTF_Trend_v1.0,0.0779297457089,12.1271518237,WF02,FLAT
IMOEXF-000004,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-06-17 20:00:00+03:00,3179.5,3214.90010408,35.4001040817,2024-06-19 12:00:00+03:00,3108.05926197,ATR_TRAILING_STOP,22,2098.56377545,2.01803751377,5.5,117.5,0.155366774835,3.31919928057,71.4407380283,2.01803751377,29.374889361,0.0587497787219,2098.50502567,0.001,35400.1040817,5.6497009031e-05,T3_MTF_Trend_v1.0,35.4001040817,2.01798101676,WF02,FLAT
GLDRUBF-000004,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-06-18 20:00:00+03:00,6381.3,6465.70307303,84.4030730256,2024-06-19 16:00:00+03:00,6374.56957911,ATR_TRAILING_STOP,11,78.8080498132,0.0797177241031,22.7,115,0.268947553522,1.36250963238,6.73042088891,0.0797177241031,11.7092305391,0.0234184610781,78.7846313521,0.001,84403.0730256,2.36958196936e-05,T3_MTF_Trend_v1.0,84.4030730256,0.0796940282834,WF02,FLAT
IMOEXF-000005,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-06-19 18:00:00+03:00,3030,3081.89241171,51.8924117148,2024-06-20 11:00:00+03:00,3069.15648772,ATR_TRAILING_STOP,8,-800.493145493,-0.754609131107,39.1564877152,10.5,0.754570589827,0.202341723058,-39.1564877152,-0.754609131107,20.4434358698,0.0408868717397,-800.534032364,0.001,51892.4117148,3.85412805825e-05,T3_MTF_Trend_v1.0,51.8924117148,-0.754647672388,WF02,FLAT
USDRUBF-000005,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2024-06-18 19:00:00+03:00,86,87.206888991,1.20688899101,2024-06-20 11:00:00+03:00,82.2225149707,ATR_TRAILING_STOP,22,3176.45134242,3.12827862164,0.07,5.43,0.0580003633484,4.4991710426,3.77748502928,3.12827862164,840.890517845,1.68178103569,3174.76956138,0.001,1206.88899101,0.00165715323853,T3_MTF_Trend_v1.0,1.20688899101,3.1266214684,WF02,FLAT
GLDRUBF-000005,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-06-24 13:00:00+03:00,6529.1,6637.79716129,108.697161287,2024-06-26 11:00:00+03:00,6537.15383586,ATR_TRAILING_STOP,28,-73.2853657639,-0.0741126609622,45.7,58.8,0.420434162759,0.540952489502,-8.05383586202,-0.0741126609622,9.09943622137,0.0181988724427,-73.3035646363,0.001,108697.161287,1.83997445409e-05,T3_MTF_Trend_v1.0,108.697161287,-0.0741310607067,WF02,FLAT
GLDRUBF-000001,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-08-19 13:00:00+03:00,7068.5,6982.45638852,86.0436114782,2024-08-21 17:00:00+03:00,7108.45309858,ATR_TRAILING_STOP,34,464.335444515,0.464312200488,40.7,103.2,0.473015942739,1.19939177618,39.9530985833,0.464312200488,11.6220133351,0.0232440266702,464.312200488,0.001,86043.6114782,2.32440266702e-05,T3_MTF_Trend_v1.0,86.0436114782,0.464288956461,WF03,FLAT
USDRUBF-000001,T3_MTF_Trend_v1.0,USDRUBF,LONG,2024-08-19 13:00:00+03:00,88.93,88.2701089362,0.659891063793,2024-08-21 17:00:00+03:00,89.653515244,ATR_TRAILING_STOP,34,1096.41618704,1.09338538376,0.32,1.26,0.484928524658,1.90940606584,0.723515244025,1.09338538376,1515.40163956,3.03080327911,1093.38538376,0.001,659.891063793,0.00303080327911,T3_MTF_Trend_v1.0,0.659891063793,1.09035458048,WF03,FLAT
CNYRUBF-000001,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-08-23 12:00:00+03:00,11.723,11.8243135372,0.101313537187,2024-08-23 14:00:00+03:00,11.8110350843,ATR_TRAILING_STOP,2,-868.937031896,-0.888677730479,0.0880350842943,0.048,0.868937031896,0.473776765994,-0.0880350842943,-0.888677730479,9870.34929155,19.7406985831,-888.677730479,0.001,101.313537187,0.0197406985831,T3_MTF_Trend_v1.0,0.101313537187,-0.908418429062,WF03,FLAT
IMOEXF-000001,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-08-22 17:00:00+03:00,2748,2780.68337637,32.6833763695,2024-08-26 10:00:00+03:00,2725.5,ATR_TRAILING_STOP,23,688.42336684,0.688362173652,7.5,91.5,0.229474455613,2.79958835848,22.5,0.688362173652,30.5965940818,0.0611931881635,688.362173652,0.001,32683.3763695,6.11931881635e-05,T3_MTF_Trend_v1.0,32.6833763695,0.688300980463,WF03,FLAT
GLDRUBF-000002,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-08-26 13:00:00+03:00,7261.9,7183.24385434,78.6561456556,2024-08-27 12:00:00+03:00,7205.50636835,ATR_TRAILING_STOP,14,-720.293038671,-0.716989514072,56.3936316523,24,0.716964086942,0.305125553763,-56.3936316523,-0.716989514072,12.7725953723,0.0255451907446,-720.318583862,0.001,78656.1456556,2.54271294802e-05,T3_MTF_Trend_v1.0,78.6561456556,-0.717014941201,WF03,FLAT
USDRUBF-000002,T3_MTF_Trend_v1.0,USDRUBF,LONG,2024-08-26 13:00:00+03:00,90.24,89.561553462,0.678446538035,2024-08-27 12:00:00+03:00,90.0109440528,ATR_TRAILING_STOP,14,-341.309739901,-0.340566182054,0.26,0.41,0.383228427627,0.604321751257,-0.229055947187,-0.340566182054,1490.07150477,2.98014300954,-344.289882911,0.001,678.446538035,0.00294791098174,T3_MTF_Trend_v1.0,0.678446538035,-0.343514093036,WF03,FLAT
GLDRUBF-000003,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-08-28 00:00:00+03:00,7299,7239.28912919,59.7108708105,2024-08-28 11:00:00+03:00,7239.28912919,ATR_TRAILING_STOP,2,-997.439936166,-1.00003349474,59.7108708105,0,1,0,-59.7108708105,-1.00003349474,16.7044948872,0.0334089897745,-997.473345156,0.001,59710.8708105,3.3494738443e-05,T3_MTF_Trend_v1.0,59.7108708105,-1.00006698948,WF03,FLAT
IMOEXF-000002,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-08-27 17:00:00+03:00,2735.5,2774.18073136,38.6807313645,2024-08-28 17:00:00+03:00,2712.42950807,ATR_TRAILING_STOP,15,600.539329227,0.596381999879,11,65.5,0.284379317866,1.69334957457,23.070491928,0.596381999879,26.0306252291,0.0520612504582,600.487267977,0.001,38680.7313645,5.17053305211e-05,T3_MTF_Trend_v1.0,38.6807313645,0.596330294549,WF03,FLAT
GLDRUBF-000004,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-08-29 11:00:00+03:00,7309.8,7243.48185566,66.3181443435,2024-08-30 15:00:00+03:00,7330.98885297,ATR_TRAILING_STOP,19,315.498197389,0.31947294637,34.3,99.7,0.517203856344,1.50335931421,21.1888529712,0.31947294637,14.8898195583,0.0297796391166,315.468417749,0.001,66318.1443435,3.0157659262e-05,T3_MTF_Trend_v1.0,66.3181443435,0.319442788711,WF03,FLAT
IMOEXF-000003,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-08-30 13:00:00+03:00,2679.5,2721.49049627,41.9904962731,2024-09-03 11:00:00+03:00,2572.73791618,ATR_TRAILING_STOP,28,2575.29907815,2.54248206851,5.5,158,0.130982019461,3.76275619541,106.762083822,2.54248206851,24.1218509976,0.0482437019953,2575.25083445,0.001,41990.4962731,4.76298252584e-05,T3_MTF_Trend_v1.0,41.9904962731,2.54243443868,WF03,FLAT
CNYRUBF-000002,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2024-09-04 14:00:00+03:00,12.241,12.116514611,0.124485388976,2024-09-05 11:00:00+03:00,12.2782011551,ATR_TRAILING_STOP,12,296.183809084,0.28277338692,0.066,0.182,0.530182702909,1.46201896863,0.0372011550628,0.28277338692,7961.68314087,15.9233662817,280.260442802,0.001,124.485388976,0.0160661425124,T3_MTF_Trend_v1.0,0.124485388976,0.266707244407,WF03,FLAT
GLDRUBF-000005,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-09-05 14:00:00+03:00,7229.4,7151.18549266,78.2145073437,2024-09-05 19:00:00+03:00,7151.18549266,ATR_TRAILING_STOP,5,-990.619886892,-1.0000255707,78.2145073437,11.4,1,0.145753011649,-78.2145073437,-1.0000255707,12.6654238521,0.0253308477042,-990.64521774,0.001,78214.5073437,2.55707037981e-05,T3_MTF_Trend_v1.0,78.2145073437,-1.00005114141,WF03,FLAT
CNYRUBF-000003,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2024-09-05 14:00:00+03:00,12.428,12.262332357,0.165667643045,2024-09-10 18:00:00+03:00,12.6292314341,ATR_TRAILING_STOP,49,1207.27924637,1.20259714217,0.062,0.291,0.374243267185,1.75652888308,0.201231434076,1.20259714217,5999.45655564,11.9989131113,1195.28033326,0.001,165.667643045,0.0120723634576,T3_MTF_Trend_v1.0,0.165667643045,1.19052477872,WF03,FLAT
USDRUBF-000003,T3_MTF_Trend_v1.0,USDRUBF,LONG,2024-09-06 17:00:00+03:00,89.79,89.102331968,0.687668032028,2024-09-10 18:00:00+03:00,90.2995646221,ATR_TRAILING_STOP,31,746.554622132,0.738095415964,0.17,1.1,0.247212306058,1.5996090392,0.509564622145,0.738095415964,1465.08330776,2.93016661553,743.624455516,0.001,687.668032028,0.00290838007127,T3_MTF_Trend_v1.0,0.687668032028,0.735187035892,WF03,FLAT
GLDRUBF-000006,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-09-20 11:00:00+03:00,7754.3,7619.16889598,135.131104021,2024-09-23 12:00:00+03:00,7772.2,ATR_TRAILING_STOP,16,129.909176785,0.13244915099,13.5,344.4,0.0999029801302,2.54863602643,17.9,0.13244915099,7.25749590976,0.0145149918195,129.894661793,0.001,135131.104021,1.48004415008e-05,T3_MTF_Trend_v1.0,135.131104021,0.132434350549,WF03,FLAT
CNYRUBF-000004,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2024-09-20 19:00:00+03:00,13.084,12.9752995844,0.108700415627,2024-09-24 16:00:00+03:00,13.136743856,ATR_TRAILING_STOP,27,488.069801117,0.466823017592,0.07,0.161,0.64397177873,1.48113509108,0.0527438560365,0.466823017592,9253.58587318,18.5071717464,469.56262937,0.001,108.700415627,0.018399193678,T3_MTF_Trend_v1.0,0.108700415627,0.448423823914,WF03,FLAT
CNYRUBF-000005,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2024-09-26 13:00:00+03:00,13.164,13.0773501788,0.0866498212249,2024-09-27 11:00:00+03:00,13.1525249044,ATR_TRAILING_STOP,13,-133.829721428,-0.155512099043,0.017,0.066,0.196191980084,0.761686510913,-0.0114750955804,-0.155512099043,11662.6236784,23.3252473569,-157.154968785,0.001,86.6498212249,0.0230814094216,T3_MTF_Trend_v1.0,0.0866498212249,-0.178593508465,WF03,FLAT
USDRUBF-000004,T3_MTF_Trend_v1.0,USDRUBF,LONG,2024-09-26 17:00:00+03:00,92.67,92.1175281807,0.552471819332,2024-09-30 16:00:00+03:00,92.8446052236,ATR_TRAILING_STOP,29,320.761321116,0.312423579974,0.32,0.63,0.579215063651,1.14032965656,0.17460522363,0.312423579974,1837.0660078,3.6741320156,317.0871891,0.001,552.471819332,0.00362009414782,T3_MTF_Trend_v1.0,0.552471819332,0.308803485826,WF03,FLAT
CNYRUBF-000001,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2024-11-19 17:00:00+03:00,13.836,13.7723180523,0.0636819476931,2024-11-20 11:00:00+03:00,13.8115091004,ATR_TRAILING_STOP,9,-384.58151048,-0.415987585081,0.0244908996341,0.042,0.38458151048,0.659527566626,-0.0244908996341,-0.415987585081,15703.0373006,31.4060746012,-415.987585081,0.001,63.6819476931,0.0314060746012,T3_MTF_Trend_v1.0,0.0636819476931,-0.447393659683,WF04,FLAT
IMOEXF-000001,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-11-20 17:00:00+03:00,2623,2665.04833338,42.0483333758,2024-11-21 23:00:00+03:00,2615.94240887,ATR_TRAILING_STOP,21,167.844729347,0.167797165036,3,68,0.071346466296,1.61718656938,7.05759113496,0.167797165036,23.782155432,0.047564310864,167.797165036,0.001,42048.3333758,4.7564310864e-05,T3_MTF_Trend_v1.0,42.0483333758,0.167749600725,WF04,FLAT
CNYRUBF-000002,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2024-11-21 20:00:00+03:00,13.937,13.8651706897,0.0718293102695,2024-11-22 11:00:00+03:00,13.8908596435,ATR_TRAILING_STOP,6,-639.688982336,-0.670204911651,0.0461403565431,0.036,0.642361124867,0.501188162116,-0.0461403565431,-0.670204911651,13863.980044,27.727960088,-667.416942424,0.001,71.8293102695,0.0278437867842,T3_MTF_Trend_v1.0,0.0718293102695,-0.698048698436,WF04,FLAT
GLDRUBF-000001,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-11-22 12:00:00+03:00,8804,8721.52945206,82.4705479373,2024-11-25 10:00:00+03:00,8769.2,ATR_TRAILING_STOP,13,-421.968822451,-0.421993073533,34.8,186.9,0.421968822451,2.26626358954,-34.8,-0.421993073533,12.125540875,0.0242510817501,-421.993073533,0.001,82470.5479373,2.42510817501e-05,T3_MTF_Trend_v1.0,82.4705479373,-0.422017324615,WF04,FLAT
