direction,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_hours,losing_streak,average_MAE_R,average_MFE_R
LONG,205,2.05120821873,0.448456011037,91.9334822625,-10.6140155218,8.66151760133,0.39512195122,11.5268292683,9,0.391757757483,2.03326584761
SHORT,124,1.05998952595,0.0360005556677,4.46406890279,-24.584479031,0.181580780994,0.322580645161,7.625,8,0.439745294632,1.68344773032
