trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe_pair,net_R
T2-Si-000009,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-20 16:00:00+03:00,2023-02-20 16:15:00+03:00,2023-02-20 16:15:00+03:00,74.24,73.9361670516,0.303832948383,303.832948383,2023-02-21 09:30:00+03:00,74.6379801945,ATR_TRAILING_STOP,33,1.30986516309,0.00658256456596,1.30328259852,0.164564114149,2.2051591296,2023-02-20 15:00:00+03:00,1,3148.51784257,USDRUBF,T2,H1_M15,1.30328259852
T2-CNY-000005,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-02-20 16:00:00+03:00,2023-02-20 16:15:00+03:00,2023-02-20 16:15:00+03:00,10.8,10.7678732657,0.0321267343066,32.1267343066,2023-02-21 10:00:00+03:00,10.869941934,ATR_TRAILING_STOP,35,2.17706329416,0.0622534485116,2.11480984565,0,3.7352069107,2023-02-20 15:15:00+03:00,1,30904.0025408,CNYRUBF,T2,H1_M15,2.11480984565
T2-Si-000010,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-21 09:45:00+03:00,2023-02-21 10:15:00+03:00,2023-02-21 10:15:00+03:00,74.78,74.5266327852,0.253367214759,253.367214759,2023-02-21 13:00:00+03:00,74.5840562236,ATR_TRAILING_STOP,11,-0.773358844263,0.0078936811217,-0.781252525384,0.749899706562,0.78936811217,2023-02-21 09:15:00+03:00,2,3824.84753264,USDRUBF,T2,H1_M15,-0.781252525384
T2-Si-000011,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-24 18:15:00+03:00,2023-02-24 18:30:00+03:00,2023-02-24 18:30:00+03:00,76.05,75.8836461244,0.166353875612,166.353875612,2023-02-24 19:15:00+03:00,75.8836461244,INITIAL_STOP,3,-1,0.0120225633016,-1.0120225633,0.180338449523,0.54101534857,2023-02-24 18:00:00+03:00,1,5779.96704339,USDRUBF,T2,H1_M15,-1.0120225633
T2-Si-000012,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-24 19:30:00+03:00,2023-02-24 20:15:00+03:00,2023-02-24 20:15:00+03:00,76.07,75.8845084559,0.185491544137,185.491544137,2023-02-27 09:15:00+03:00,75.8845084559,INITIAL_STOP,16,-1,0.0107821626549,-1.01078216265,0.862573012395,0.215643253099,2023-02-24 19:00:00+03:00,3,5131.17255279,USDRUBF,T2,H1_M15,-1.01078216265
T2-CNY-000006,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-09 23:00:00+03:00,2023-03-10 09:15:00+03:00,2023-03-10 09:15:00+03:00,10.87,10.848731454,0.0212685459874,21.2685459874,2023-03-13 09:30:00+03:00,10.9528223348,ATR_TRAILING_STOP,60,3.8941230316,0.0940355772877,3.80008745431,0.470177886439,5.64213463726,2023-03-09 22:45:00+03:00,3,47668.5832803,CNYRUBF,T2,H1_M15,3.80008745431
T2-CNY-000007,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-14 13:45:00+03:00,2023-03-14 14:45:00+03:00,2023-03-14 14:45:00+03:00,10.94,10.9087149084,0.0312850915533,31.2850915533,2023-03-14 17:45:00+03:00,10.9143569532,ATR_TRAILING_STOP,12,-0.819657081289,0.0639282131105,-0.8835852944,0.639282131105,0.319641065552,2023-03-14 13:30:00+03:00,2,33638.0130396,CNYRUBF,T2,H1_M15,-0.8835852944
T2-Si-000013,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-14 16:15:00+03:00,2023-03-14 16:45:00+03:00,2023-03-14 16:45:00+03:00,75.39,75.2312292881,0.158770711887,158.770711887,2023-03-14 17:45:00+03:00,75.2312292881,INITIAL_STOP,4,-1,0.0125967817127,-1.01259678171,0.818790811322,0.0629839085633,2023-03-14 16:00:00+03:00,2,5934.14612936,USDRUBF,T2,H1_M15,-1.01259678171
T2-Si-000014,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-14 18:00:00+03:00,2023-03-14 18:15:00+03:00,2023-03-14 18:15:00+03:00,75.32,75.2015798011,0.118420198943,118.420198943,2023-03-15 10:00:00+03:00,75.4456638269,ATR_TRAILING_STOP,26,1.06116885519,0.0168890106405,1.04427984455,0.0844450532022,2.36446148966,2023-03-14 17:00:00+03:00,1,7875.58410426,USDRUBF,T2,H1_M15,1.04427984455
T2-Si-000015,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-15 17:15:00+03:00,2023-03-15 17:45:00+03:00,2023-03-15 17:45:00+03:00,76.1,75.8597029618,0.24029703822,240.29703822,2023-03-16 11:00:00+03:00,76.212374704,ATR_TRAILING_STOP,32,0.467649143039,0.00832303225546,0.459326110783,0.291306128941,1.62299128981,2023-03-15 16:45:00+03:00,2,3921.67748757,USDRUBF,T2,H1_M15,0.459326110783
T2-CNY-000008,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-16 12:00:00+03:00,2023-03-16 12:15:00+03:00,2023-03-16 12:15:00+03:00,11.03,11.0085310196,0.0214689803623,21.4689803623,2023-03-16 12:45:00+03:00,11.04,ATR_TRAILING_STOP,2,0.465788306256,0.0931576612511,0.372630645004,0.465788306256,7.91840120634,2023-03-16 10:30:00+03:00,1,48584.9690258,CNYRUBF,T2,H1_M15,0.372630645004
T2-Si-000016,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-16 19:30:00+03:00,2023-03-16 20:00:00+03:00,2023-03-16 20:00:00+03:00,76.71,76.4855207329,0.224479267111,224.479267111,2023-03-17 09:15:00+03:00,76.5681046547,ATR_TRAILING_STOP,17,-0.632108912164,0.00890950877443,-0.641018420938,0.579118070338,0.40092789485,2023-03-16 19:00:00+03:00,2,4217.2982709,USDRUBF,T2,H1_M15,-0.641018420938
T2-CNY-000009,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-16 19:30:00+03:00,2023-03-16 20:00:00+03:00,2023-03-16 20:00:00+03:00,11.1,11.0478129286,0.0521870714137,52.1870714137,2023-03-17 10:30:00+03:00,11.1106722299,ATR_TRAILING_STOP,20,0.204499498023,0.0383236680239,0.166175829999,0.383236680239,1.14971004072,2023-03-16 19:00:00+03:00,2,20061.6075032,CNYRUBF,T2,H1_M15,0.166175829999
