strategy,diagnostic_run_id,month,trades,PF,expectancy,net_R
T2,QUARTERLY_DATA__LEGACY_PARAMS,2026-04,7,1.71288604407,0.280040016125,1.96028011288
T2,QUARTERLY_DATA__LEGACY_PARAMS,2026-05,2,,6.70114617552,13.402292351
T2,QUARTERLY_DATA__LEGACY_PARAMS,2026-06,5,0,-1.0212212459,-5.10610622952
T2,QUARTERLY_DATA__LEGACY_PARAMS,2026-07,1,0,-0.425520225943,-0.425520225943
T2,QUARTERLY_DATA__LEGACY_PARAMS,2026-08,7,6.26069277797,1.52619326508,10.6833528556
T2,QUARTERLY_DATA__V2_PARAMS,2025-01,3,0.798640602727,-0.0894607269333,-0.2683821808
T2,QUARTERLY_DATA__V2_PARAMS,2025-02,2,,1.59661253305,3.19322506609
T2,QUARTERLY_DATA__V2_PARAMS,2025-03,1,0,-0.657778075235,-0.657778075235
T2,QUARTERLY_DATA__V2_PARAMS,2025-04,2,0.243639105932,-0.307492584407,-0.614985168813
T2,QUARTERLY_DATA__V2_PARAMS,2025-05,5,0.0258136723552,-0.650748486813,-3.25374243407
T2,QUARTERLY_DATA__V2_PARAMS,2025-06,5,2.66709560759,0.737728111018,3.68864055509
T2,QUARTERLY_DATA__V2_PARAMS,2025-07,7,0.0658966032273,-0.502049606433,-3.51434724503
T2,QUARTERLY_DATA__V2_PARAMS,2025-08,3,0,-0.661664117502,-1.9849923525
T2,QUARTERLY_DATA__V2_PARAMS,2025-09,0,,,0
T2,QUARTERLY_DATA__V2_PARAMS,2025-10,4,0,-0.527346179045,-2.10938471618
T2,QUARTERLY_DATA__V2_PARAMS,2025-11,6,9.77024332167,1.85603700714,11.1362220429
T2,QUARTERLY_DATA__V2_PARAMS,2025-12,8,1.12728241215,0.0378342304833,0.302673843867
T2,QUARTERLY_DATA__V2_PARAMS,2026-01,2,0,-0.182567000723,-0.365134001445
T2,QUARTERLY_DATA__V2_PARAMS,2026-02,3,0,-0.754133835779,-2.26240150734
T2,QUARTERLY_DATA__V2_PARAMS,2026-03,2,0,-0.552952765685,-1.10590553137
T2,QUARTERLY_DATA__V2_PARAMS,2026-04,9,0.660476359497,-0.173722317307,-1.56350085576
T2,QUARTERLY_DATA__V2_PARAMS,2026-05,3,,4.60885221867,13.826556656
T2,QUARTERLY_DATA__V2_PARAMS,2026-06,7,0.113082745278,-0.677617002439,-4.74331901707
T2,QUARTERLY_DATA__V2_PARAMS,2026-07,1,0,-0.425520225943,-0.425520225943
T2,QUARTERLY_DATA__V2_PARAMS,2026-08,7,6.56943364186,1.53982756294,10.7787929406
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-01,5,0.285824114935,-0.531948355716,-2.65974177858
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-02,14,0.896396763957,-0.0533223922298,-0.746513491217
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-03,14,0.533548663965,-0.219543676083,-3.07361146516
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-04,7,1.53130657244,0.204578885171,1.43205219619
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-05,15,0.490906837402,-0.2690300608,-4.035450912
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-06,13,1.06241336001,0.0313396301011,0.407415191314
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-07,10,0.484872525201,-0.244645241706,-2.44645241706
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-08,15,1.22699358703,0.0918542487486,1.37781373123
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-09,13,0.531756905205,-0.246122443737,-3.19959176859
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-10,20,1.36092303986,0.184148951227,3.68297902455
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-11,19,1.44901874809,0.28662297703,5.44583656356
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025-12,23,2.02619906569,0.396070129904,9.10961298779
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2026-01,13,1.66930163418,0.32768045307,4.25984588991
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2026-02,11,1.03181427603,0.0140071000841,0.154078100926
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2026-03,14,1.80244640355,0.473524878504,6.62934829906
