configuration_id,is_baseline,ema_period,adx_threshold,breakout_period,atr_average_period,stop_atr,trail_atr
T3-H1-782a150195d6,True,100,20,20,20,2,3
T3-H1-aeef6145060a,False,50,20,20,20,2,3
T3-H1-0050d828c1a8,False,75,20,20,20,2,3
T3-H1-e465514e7d09,False,150,20,20,20,2,3
T3-H1-ce4f64b5cf6f,False,200,20,20,20,2,3
T3-H1-0e8b28aef6af,False,100,15,20,20,2,3
T3-H1-8f50652483e0,False,100,25,20,20,2,3
T3-H1-59bb19b16087,False,100,30,20,20,2,3
T3-H1-fde65b87e674,False,100,20,10,20,2,3
T3-H1-d6feb972db57,False,100,20,30,20,2,3
T3-H1-2e29f26637ab,False,100,20,40,20,2,3
T3-H1-1bef08206dd9,False,100,20,55,20,2,3
T3-H1-0ceadfe6ba89,False,100,20,20,10,2,3
T3-H1-aeeb96942cf3,False,100,20,20,30,2,3
T3-H1-4e27874898fc,False,100,20,20,50,2,3
T3-H1-5ce129d7f93a,False,100,20,20,20,1.5,3
T3-H1-4e73cdb77246,False,100,20,20,20,2.5,3
T3-H1-ff3ccac57cfa,False,100,20,20,20,3,3
T3-H1-65fae596a867,False,100,20,20,20,2,2
T3-H1-d9d86ab01cd1,False,100,20,20,20,2,2.5
T3-H1-30681f09c487,False,100,20,20,20,2,3.5
T3-H1-ea3e58b88e04,False,100,20,20,20,2,4
