scope,weekday,trades,win_rate,PF,expectancy_R,net_R
COMBINED,Monday,157,0.312101910828,1.21501937928,0.128958670634,20.2465112895
COMBINED,Tuesday,146,0.27397260274,0.774382556446,-0.144668852276,-21.1216524323
COMBINED,Wednesday,165,0.30303030303,1.16841595798,0.0888649726315,14.6627204842
COMBINED,Thursday,166,0.301204819277,1.10054813654,0.0631764752068,10.4872948843
COMBINED,Friday,194,0.314432989691,1.26372624765,0.135062580288,26.2021405758
USDRUBF,Monday,84,0.357142857143,1.60023689684,0.307936449803,25.8666617834
USDRUBF,Tuesday,80,0.325,0.839953852834,-0.0922022192921,-7.37617754337
USDRUBF,Wednesday,85,0.305882352941,1.44708979573,0.221986683985,18.8688681387
USDRUBF,Thursday,94,0.297872340426,1.03636621898,0.021313477734,2.00346690699
USDRUBF,Friday,112,0.357142857143,1.79774264267,0.357940361941,40.0893205374
CNYRUBF,Monday,73,0.260273972603,0.889946078722,-0.0769883629298,-5.62015049388
CNYRUBF,Tuesday,66,0.212121212121,0.710799913252,-0.208264771045,-13.745474889
CNYRUBF,Wednesday,80,0.3,0.906235802599,-0.0525768456815,-4.20614765452
CNYRUBF,Thursday,72,0.305555555556,1.17240115843,0.11783094413,8.48382797734
CNYRUBF,Friday,82,0.256097560976,0.717165985665,-0.16935585319,-13.8871799615
