scope,session,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R
COMBINED,Full_Session,830,0.302409638554,1.10572933392,0.061035668028,50.6596044632,-56.4226125007
COMBINED,Session_A,536,0.30223880597,1.3128231923,0.17207760738,92.2335975556,-23.4212239618
COMBINED,Session_B,249,0.301204819277,0.672487974635,-0.205652125085,-51.2073791461,-64.6405433984
COMBINED,Session_C,45,0.311111111111,1.34467706693,0.214075245639,9.63338605374,-19.0273690779
USDRUBF,Full_Session,456,0.328947368421,1.33197387166,0.172814997093,78.8036386744,-26.1997927363
USDRUBF,Session_A,303,0.320132013201,1.57017176792,0.284215540832,86.1173088722,-15.9580057399
USDRUBF,Session_B,129,0.364341085271,0.950302297596,-0.0270953930595,-3.49530570468,-21.026670241
USDRUBF,Session_C,24,0.25,0.761504586262,-0.159098520547,-3.81836449313,-12.8075502474
CNYRUBF,Full_Session,374,0.270053475936,0.88358940542,-0.075251428372,-28.1440342111,-52.9627934905
CNYRUBF,Session_A,233,0.278969957082,1.04253179311,0.0262501660234,6.11628868346,-18.4152461172
CNYRUBF,Session_B,120,0.233333333333,0.445346045018,-0.397600612012,-47.7120734415,-53.1992002361
CNYRUBF,Session_C,21,0.380952380952,2.12672574074,0.640559549851,13.4517505469,-8.82143970868
