category,rank,trade_id,net_R,instrument,direction,session,weekday,holding_minutes,entry_time,exit_time
TOP_POSITIVE,1,T2-M5-Si-000431,14.6330396258,USDRUBF,LONG,Session_A,Wednesday,320,2024-11-27T08:20:00+00:00,2024-11-27T13:40:00+00:00
TOP_POSITIVE,2,T2-M5-CNY-000167,12.9822711948,CNYRUBF,LONG,Session_A,Thursday,60,2023-12-21T08:40:00+00:00,2023-12-21T09:40:00+00:00
TOP_POSITIVE,3,T2-M5-Si-000428,12.2037699161,USDRUBF,LONG,Session_A,Friday,180,2024-11-22T08:10:00+00:00,2024-11-22T11:10:00+00:00
TOP_POSITIVE,4,T2-M5-CNY-000280,11.5022816383,CNYRUBF,SHORT,Session_A,Tuesday,80,2024-07-23T08:05:00+00:00,2024-07-23T09:25:00+00:00
TOP_POSITIVE,5,T2-M5-CNY-000312,9.75796321747,CNYRUBF,LONG,Session_A,Monday,440,2024-09-16T12:10:00+00:00,2024-09-16T19:30:00+00:00
BOTTOM_NEGATIVE,1,T2-M5-Si-000135,-4.91581608331,USDRUBF,LONG,Session_B,Tuesday,590,2023-08-08T20:15:00+00:00,2023-08-09T06:05:00+00:00
BOTTOM_NEGATIVE,2,T2-M5-CNY-000091,-4.66694510321,CNYRUBF,LONG,Session_B,Tuesday,555,2023-08-08T20:50:00+00:00,2023-08-09T06:05:00+00:00
BOTTOM_NEGATIVE,3,T2-M5-CNY-000143,-3.04648980458,CNYRUBF,SHORT,Session_B,Monday,555,2023-11-20T20:50:00+00:00,2023-11-21T06:05:00+00:00
BOTTOM_NEGATIVE,4,T2-M5-Si-000248,-2.80658132406,USDRUBF,SHORT,Session_B,Thursday,570,2024-02-08T20:35:00+00:00,2024-02-09T06:05:00+00:00
BOTTOM_NEGATIVE,5,T2-M5-CNY-000319,-2.596279549,CNYRUBF,LONG,Session_B,Friday,15,2024-09-27T19:50:00+00:00,2024-09-27T20:05:00+00:00
