direction,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,209,1.83564300496,0.337958257864,70.6332758936,-17.0128509687,4.15176010319,0.444976076555,6,20
SHORT,132,2.08215776681,0.436732572945,57.6486996288,-8.19093282745,7.03811163432,0.469696969697,5,9
