instrument,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
USDRUBF,99,1.46660362726,0.220014415113,21.7814270962,-8.17554240967,2.66421798148,0.262626262626,916.666666667,2,13,0.467524558895,1.65525573378
CNYRUBF,79,1.51583168381,0.22577545418,17.8362608802,-8.71467424078,2.04669278363,0.405063291139,1198.86075949,4,6,0.446767877126,1.70569841774
