direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
LONG,109,1.65803445544,0.271624668639,29.6070888816,-12.8612461582,2.30203889401,0.366972477064,1121.28440367,5,12,0.41855816552,1.73599521943
SHORT,69,1.27603834056,0.145081146302,10.0105990948,-9.6346261844,1.03902309267,0.260869565217,916.52173913,3,11,0.521112370753,1.58546396708
