analysis,omitted_period,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
leave_one_quarter_out,2023Q1,157,1.58731946592,0.268499895851,42.1544836486,-15.0847664713,2.79450687744,0.31847133758,1018.47133758,5,13,0.450367391583,1.73644958683
leave_one_quarter_out,2023Q2,162,1.45699701791,0.210026026568,34.0242163041,-15.0847664713,2.25553483833,0.33950617284,1050.74074074,5,11,0.461006619481,1.66319816809
leave_one_quarter_out,2023Q3,151,1.43412083154,0.205713230843,31.0626978573,-15.0847664713,2.05920972767,0.298013245033,990.397350993,4,13,0.473606390184,1.65150589192
leave_one_quarter_out,2023Q4,156,1.38146570939,0.175169236332,27.3264008678,-11.9755181308,2.2818554128,0.326923076923,979.230769231,5,13,0.470215015204,1.6344932229
leave_one_quarter_out,2024Q1,159,1.68222674632,0.297052115442,47.2312863554,-8.93615752804,5.2854133566,0.333333333333,1077.35849057,5,13,0.445764221346,1.74542690726
leave_one_quarter_out,2024Q2,151,1.3575246522,0.167651143161,25.3153226173,-18.7040697866,1.35346600531,0.311258278146,1065.89403974,5,13,0.453810578328,1.63045742173
leave_one_quarter_out,2024Q3,159,1.4883850913,0.226551965612,36.0217625324,-15.0847664713,2.38795626044,0.327044025157,1064.71698113,5,13,0.466880613499,1.6948849301
leave_one_quarter_out,2024Q4,151,1.5211560253,0.226408249353,34.1876456523,-15.0847664713,2.26636890384,0.350993377483,1087.74834437,5,13,0.44478390181,1.66036937011
leave_one_year_out,2023,92,1.34432630199,0.170812334223,15.7147347485,-10.2173492222,1.53804420371,0.29347826087,826.630434783,3,11,0.494783470143,1.63649503127
leave_one_year_out,2024,86,1.67106574374,0.277941316604,23.902953228,-7.03470567314,3.39786116699,0.360465116279,1272.20930233,5,13,0.419296678727,1.72166220662
