month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
2023-01,7,0.232305490035,-0.584504480557,-4.0915313639,-4.0915313639,-1,0.142857142857,501.428571429,1,3,0.688657369589,0.787243749014
2023-02,7,0.164038828367,-0.298337064533,-2.08835945173,-2.08835945173,-1,0.428571428571,1182.85714286,2,2,0.447644688078,0.882118154005
2023-03,7,3.1995224714,0.520442163349,3.64309514344,-1.09111661805,3.33886871777,0.571428571429,1967.14285714,2,2,0.416828391621,2.04462488473
2023-04,3,8.34666678301,1.85182725882,5.55548177647,-0.756190792445,7.34666678301,0.666666666667,1960,2,1,0.504281035253,3.06106925259
2023-05,9,0,-0.495135850906,-4.45622265815,-4.45622265815,-1,0,663.333333333,0,9,0.411116091332,0.82732883932
2023-06,4,3.81887200883,1.12355313851,4.49421255405,-1.59433012211,2.81887200883,0.25,847.5,1,3,0.420908334992,3.13830552587
2023-07,9,3.06877676867,0.663432121252,5.97088909127,-1.60306626493,3.72466767089,0.444444444444,1673.33333333,2,3,0.39947386558,2.09247439745
2023-08,8,1.90212242714,0.32022036319,2.56176290552,-2.0355900606,1.25848664478,0.5,1166.25,1,2,0.414776823338,2.03508376554
2023-09,10,1.00561336378,0.00223381222992,0.0223381222992,-3.97945388792,0.00561336377513,0.5,1152,4,5,0.315154932898,1.41301632647
2023-10,7,4.85675775667,1.17821800131,8.24752600919,-2.13846098965,3.85675775667,0.571428571429,1868.57142857,3,3,0.206699686825,2.33512860318
2023-11,7,4.11114743239,1.24632721689,8.72429051824,-2.07928467602,4.19581340585,0.428571428571,1260,2,2,0.543857316039,3.06566658048
2023-12,8,0,-0.585066177345,-4.68052941876,-4.68052941876,-1,0,1350,0,8,0.371519028977,0.729247948501
2024-01,6,1.13883613474,0.0652674277354,0.391604566412,-2.82062423547,0.138836134742,0.5,1295,2,3,0.646030370554,1.7280752113
2024-02,7,0.120000913141,-0.513558598054,-3.59491018638,-4.08512945077,-0.879999086859,0.142857142857,707.142857143,1,6,0.425513144648,0.890223278333
2024-03,6,0.138891655637,-0.735048793158,-4.41029275895,-5.12164675656,-0.861108344363,0.166666666667,240,1,5,0.641384698946,0.749600029334
2024-04,8,4.78983578018,0.982336767559,7.85869414047,-1.61757411126,4.85832091758,0.5,1106.25,2,2,0.465615266766,2.51826609609
2024-05,14,0.91402240014,-0.0380355456311,-0.532497638836,-2.56824417743,-0.20733917885,0.357142857143,790.714285714,2,4,0.561760680914,1.33487674061
2024-06,5,4.19393881854,1.39523377151,6.97616885755,-1.17829360307,5.92056923622,0.4,918,1,2,0.292924925838,2.71740376563
2024-07,8,1.2802456368,0.123016502119,0.984132016954,-1.84802563073,0.532531584296,0.25,888.75,2,3,0.368012886774,1.594999653
2024-08,4,1.80036636537,0.37683099337,1.50732397348,-1.88329250042,0.800366365366,0.25,832.5,1,3,0.315942093811,1.6378700381
2024-09,7,1.52428619346,0.157781350522,1.10446945366,-1.05681080967,1.04509666588,0.428571428571,818.571428571,2,2,0.448243515396,1.40318734049
2024-10,8,0.469635542107,-0.274976553552,-2.19981242841,-3.56644594362,-0.616808010884,0.25,525,1,5,0.562362562485,1.17649215213
2024-11,9,2.57575183491,1.00266320594,9.02396885345,-5.72677032863,1.57575183491,0.111111111111,413.333333333,1,8,0.412017154663,2.82028967064
2024-12,10,0.758984125201,-0.139411410092,-1.39411410092,-2.98011509002,-0.467805456771,0.2,1329,1,3,0.621016955842,1.31101735071
