ema_period,slope_lookback,adx_period,adx_threshold,atr_period,atr_average_period,breakout_period,stop_atr,trail_atr,configuration_id,trades,PF_C0,PF_C1,expectancy_C1,net_R_C1,max_DD_R_C1,winrate,Si_expectancy_C1,CNY_expectancy_C1,Y2023_expectancy_C1,Y2024_expectancy_C1,LONG_trades,SHORT_trades,status
100,5,14,20.0,14,20,15,1.5,2.5,T3_D15_ADX20_EMA100_ATR20_SL1.5_TR2.5,136,2.3410652359640203,2.2575711940582064,0.5309955707805858,72.21539762615967,-12.637634377150366,0.4632352941176471,0.47186284730479294,0.6036997389885277,0.41610907851888346,0.6528448807551185,87,49,POSITIVE
100,5,14,20.0,14,20,15,1.5,3.0,T3_D15_ADX20_EMA100_ATR20_SL1.5_TR3.0,124,2.4729423241254445,2.3928490701852314,0.6423686154023924,79.65370830989666,-16.558987441380825,0.45161290322580644,0.5691182318471583,0.7342645511353225,0.5305067984521562,0.7578980329083745,82,42,POSITIVE
100,5,14,20.0,14,20,15,1.5,3.5,T3_D15_ADX20_EMA100_ATR20_SL1.5_TR3.5,115,2.619293722687816,2.541351031905554,0.7581041426908214,87.18197640944446,-18.157053746183074,0.4434782608695652,0.7025401878835067,0.8254220110150682,0.5403846538454864,0.9874871755814423,76,39,POSITIVE
100,5,14,20.0,14,20,15,2.0,2.5,T3_D15_ADX20_EMA100_ATR20_SL2.0_TR2.5,134,2.2623351626271413,2.187445856552927,0.40091027628125697,53.72197702168843,-11.605742145010232,0.4701492537313433,0.35225683176089684,0.4609161911897012,0.2753299431953669,0.5382637655939492,87,47,POSITIVE
100,5,14,20.0,14,20,15,2.0,3.0,T3_D15_ADX20_EMA100_ATR20_SL2.0_TR3.0,121,2.426862912494422,2.358046329542709,0.5098269856947356,61.68906526906301,-16.06141964433997,0.4793388429752066,0.4265291039613597,0.6166997396168026,0.3357166369687978,0.6989468472418751,80,41,POSITIVE
100,5,14,20.0,14,20,15,2.0,3.5,T3_D15_ADX20_EMA100_ATR20_SL2.0_TR3.5,113,2.473740931565663,2.4100522845250243,0.5891754515474642,66.57682602486345,-15.36431220488214,0.4778761061946903,0.5608294886514874,0.6236352495778671,0.32129949431548227,0.8818547381527777,74,39,POSITIVE
100,5,14,20.0,14,20,15,2.5,2.5,T3_D15_ADX20_EMA100_ATR20_SL2.5_TR2.5,134,2.191355442327337,2.1205250448529007,0.31220426593633194,41.835371635468476,-10.170111175807646,0.4701492537313433,0.2719462745076464,0.36185578869837737,0.20588492482669946,0.4284910452749924,87,47,POSITIVE
100,5,14,20.0,14,20,15,2.5,3.0,T3_D15_ADX20_EMA100_ATR20_SL2.5_TR3.0,121,2.2610652210395146,2.200156978540329,0.38630910156604054,46.743401289490905,-14.740276190081081,0.4793388429752066,0.3128234949965663,0.4805925213155547,0.2423983820442588,0.5426259175983206,80,41,POSITIVE
100,5,14,20.0,14,20,15,2.5,3.5,T3_D15_ADX20_EMA100_ATR20_SL2.5_TR3.5,112,2.261885526754571,2.2077653162404762,0.4458830185954531,49.93889808269075,-13.782657182123303,0.49107142857142855,0.4340601586388256,0.4600240863867134,0.20785855823877988,0.7108536442755231,74,38,POSITIVE
100,5,14,20.0,14,20,20,1.5,2.5,T3_D20_ADX20_EMA100_ATR20_SL1.5_TR2.5,123,2.0295193296504426,1.9626202004712923,0.46384723767617175,57.05321023416913,-13.48965137891351,0.3983739837398374,0.369865366564027,0.5762898334710592,0.3099598130718711,0.6254290335106875,82,41,POSITIVE
100,5,14,20.0,14,20,20,1.5,3.0,T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.0,112,2.177462273979845,2.112837123386521,0.5882822660905463,65.88761380214119,-17.434711728631324,0.4017857142857143,0.4649309578188844,0.7412378883474069,0.46071190574779586,0.7158526264332966,77,35,POSITIVE
100,5,14,20.0,14,20,20,1.5,3.5,T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.5,105,2.3478271589921733,2.282155985483456,0.7029354838253637,73.8082258016632,-17.77879308491964,0.4,0.5966685636915544,0.8291274514842623,0.4692449520842043,0.941120064253853,72,33,POSITIVE
100,5,14,20.0,14,20,20,2.0,2.5,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.5,121,1.9118243559602104,1.8538702647667709,0.3398303310447737,41.11947005641762,-13.647842270304423,0.4049586776859504,0.2653419619793967,0.42921637392322604,0.18230018748654134,0.5109406593925088,81,40,POSITIVE
100,5,14,20.0,14,20,20,2.0,3.0,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.0,109,2.1049567258779187,2.050317167764735,0.46344295761127374,50.515282379628836,-16.783903569375298,0.43119266055045874,0.3362333671533808,0.6251051454848459,0.2701124525071036,0.6677166988534158,74,35,POSITIVE
100,5,14,20.0,14,20,20,2.0,3.5,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.5,102,2.1426560196155284,2.0928846525360343,0.5264517737825659,53.69808092582172,-17.951490224321994,0.4411764705882353,0.4195195547179535,0.6566301274264421,0.2458696579332621,0.8299385521501803,69,33,POSITIVE
100,5,14,20.0,14,20,20,2.5,2.5,T3_D20_ADX20_EMA100_ATR20_SL2.5_TR2.5,121,1.8397538975284373,1.785561651848348,0.25968388442558904,31.421750015496272,-11.994949346982782,0.4049586776859504,0.198479182143833,0.3331295271636962,0.12763395859419557,0.40311742455279215,81,40,POSITIVE
100,5,14,20.0,14,20,20,2.5,3.0,T3_D20_ADX20_EMA100_ATR20_SL2.5_TR3.0,109,1.9083182149245468,1.8621829082699197,0.3350919007987615,36.525017187065004,-15.833807492863935,0.43119266055045874,0.22673937364777078,0.4727899040531454,0.17578728664694301,0.5034137572610603,74,35,POSITIVE
100,5,14,20.0,14,20,20,2.5,3.5,T3_D20_ADX20_EMA100_ATR20_SL2.5_TR3.5,101,1.9351141800932243,1.893606331956773,0.3855565689753615,38.94121346651151,-15.947088134621072,0.45544554455445546,0.30645460165852595,0.4801350081585346,0.13651753249109547,0.660537171760072,69,32,POSITIVE
100,5,14,20.0,14,20,30,1.5,2.5,T3_D30_ADX20_EMA100_ATR20_SL1.5_TR2.5,111,1.9764766546743229,1.916215100778501,0.46394463176037376,51.49785412540149,-17.029193044274674,0.3963963963963964,0.34738243782605976,0.6114314893915465,0.3840980029824263,0.5423654278815719,71,40,POSITIVE
100,5,14,20.0,14,20,30,1.5,3.0,T3_D30_ADX20_EMA100_ATR20_SL1.5_TR3.0,102,2.05751459858236,2.001042333912938,0.5422396717200868,55.30844651544885,-18.839722137491638,0.4117647058823529,0.31904206201522084,0.8484875548035073,0.6107333023234934,0.48135644451705856,66,36,POSITIVE
100,5,14,20.0,14,20,30,1.5,3.5,T3_D30_ADX20_EMA100_ATR20_SL1.5_TR3.5,97,2.1251326108231847,2.0678877412017154,0.6146265812038855,59.618778376776895,-20.822232109406727,0.38144329896907214,0.4267217623230758,0.860692415452565,0.5982848467046098,0.6293661848698989,62,35,POSITIVE
100,5,14,20.0,14,20,30,2.0,2.5,T3_D30_ADX20_EMA100_ATR20_SL2.0_TR2.5,109,1.8426384848891395,1.7906330176134577,0.3342422105806495,36.432400953290795,-15.242844983115624,0.4036697247706422,0.2662403055367169,0.41750984940995445,0.2265267147047057,0.4439524378617032,70,39,POSITIVE
100,5,14,20.0,14,20,30,2.0,3.0,T3_D30_ADX20_EMA100_ATR20_SL2.0_TR3.0,99,1.9359283702912866,1.8888406733208718,0.41590416123432766,41.17451196219844,-18.00569896242274,0.43434343434343436,0.2503063678887433,0.6315664037309027,0.3746189325933253,0.4547608470140946,64,35,POSITIVE
100,5,14,20.0,14,20,30,2.0,3.5,T3_D30_ADX20_EMA100_ATR20_SL2.0_TR3.5,94,1.896854234948233,1.8531400277185772,0.44486306657325225,41.81712825788571,-20.710867254589083,0.40425531914893614,0.3154554384516523,0.6050820347238047,0.3397444623632563,0.5456017289411652,60,34,POSITIVE
100,5,14,20.0,14,20,30,2.5,2.5,T3_D30_ADX20_EMA100_ATR20_SL2.5_TR2.5,109,1.7993511728276843,1.7502259195595236,0.25993332509951195,28.3327324358468,-12.23704129497086,0.41284403669724773,0.19521536492293726,0.33917980694837885,0.1535802339947427,0.3682559178914065,70,39,POSITIVE
100,5,14,20.0,14,20,30,2.5,3.0,T3_D30_ADX20_EMA100_ATR20_SL2.5_TR3.0,98,1.8520215849895985,1.8092844991844197,0.3260722735942833,31.955082812239763,-16.054292473465207,0.4387755102040816,0.1970637065553556,0.4910832314347724,0.2493836958826611,0.39969330819744064,64,34,POSITIVE
