ema_period,slope_lookback,adx_period,adx_threshold,atr_period,atr_average_period,breakout_period,stop_atr,trail_atr,configuration_id,trades,PF_C0,PF_C1,expectancy_C1,net_R_C1,max_DD_R_C1,winrate,Si_expectancy_C1,CNY_expectancy_C1,Y2023_expectancy_C1,Y2024_expectancy_C1,LONG_trades,SHORT_trades,status
75,5,14,15,14,20,20,2.0,3.0,T3_D20_ADX15_EMA75_ATR20_SL2.0_TR3.0,122,2.0634476213432755,2.007515995091965,0.4398263646401361,53.658816486096605,-12.208827074400494,0.4262295081967213,0.38326846442372836,0.5064838898951881,0.2779455917673407,0.6126821051653243,85,37,POSITIVE
100,5,14,15,14,20,20,2.0,3.0,T3_D20_ADX15_EMA100_ATR20_SL2.0_TR3.0,118,1.9726728871920913,1.9214303770469192,0.41325494141336655,48.764083086777255,-15.85873422610058,0.423728813559322,0.27705761269190493,0.5861207817136832,0.23493963113006186,0.5856264080205611,80,38,POSITIVE
150,5,14,15,14,20,20,2.0,3.0,T3_D20_ADX15_EMA150_ATR20_SL2.0_TR3.0,111,1.9644001341692532,1.9132190244217004,0.41253738608831275,45.79164985580272,-16.2518894557842,0.4144144144144144,0.29571117807518077,0.5550653598643336,0.25062701060364434,0.550161205250281,75,36,POSITIVE
75,5,14,20,14,20,20,2.0,3.0,T3_D20_ADX20_EMA75_ATR20_SL2.0_TR3.0,114,2.192416699722845,2.133294331715426,0.4872420514720887,55.54559386781811,-12.998418328805291,0.43859649122807015,0.44606015644397584,0.5363435416979155,0.31164542649502747,0.6893438273890836,79,35,POSITIVE
100,5,14,20,14,20,20,2.0,3.0,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.0,109,2.1049567258779187,2.050317167764735,0.46344295761127374,50.515282379628836,-16.783903569375298,0.43119266055045874,0.3362333671533808,0.6251051454848459,0.2701124525071036,0.6677166988534158,74,35,POSITIVE
150,5,14,20,14,20,20,2.0,3.0,T3_D20_ADX20_EMA150_ATR20_SL2.0_TR3.0,104,2.1385952259278915,2.0815763623933345,0.4676536576380749,48.63598039435979,-15.543035255324186,0.4326923076923077,0.3682477725769621,0.583627190209373,0.25062701060364434,0.6764906198787533,72,32,POSITIVE
75,5,14,25,14,20,20,2.0,3.0,T3_D20_ADX25_EMA75_ATR20_SL2.0_TR3.0,97,2.4474411673316707,2.3897382828136937,0.5700461925061353,55.29448067309512,-8.25634412822997,0.4639175257731959,0.4846319328242648,0.6867095715838119,0.3126132671567841,0.9071607376064758,67,30,POSITIVE
100,5,14,25,14,20,20,2.0,3.0,T3_D20_ADX25_EMA100_ATR20_SL2.0_TR3.0,92,2.367954270052418,2.31534996064822,0.5557418415012941,51.12824941811906,-10.667793084123915,0.45652173913043476,0.3792358939673051,0.8181155472950618,0.26619312035648507,0.9004427000070194,62,30,POSITIVE
150,5,14,25,14,20,20,2.0,3.0,T3_D20_ADX25_EMA150_ATR20_SL2.0_TR3.0,88,2.3972125221962544,2.3437547525451388,0.5537353983133003,48.72871505157043,-9.909317748934699,0.45454545454545453,0.39148382018843936,0.7773794654583789,0.21674837660411894,0.9400375939311426,62,26,POSITIVE
