instrument,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_hours,losing_streak,average_MAE_R,average_MFE_R
USDRUBF,59,1.52627804145,0.234053528392,13.8091581751,-9.39178293385,1.47034469093,0.35593220339,33.2881355932,10,0.524973103002,1.84288822863
CNYRUBF,42,2.54336042109,0.660685347731,27.7487846047,-3.57220799006,7.76796443038,0.452380952381,35.3333333333,4,0.528719636142,2.24821980811
