direction,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_hours,losing_streak,average_MAE_R,average_MFE_R
LONG,71,1.60312782103,0.261270481587,18.5502041927,-8.61942573606,2.15213922142,0.380281690141,33.7887323944,9,0.533920385935,1.90560969972
SHORT,30,2.70907886909,0.766924619571,23.0077385871,-6.1679990217,3.73017870239,0.433333333333,34.9666666667,7,0.509043013122,2.26191162497
