strategy,candidate_id,configuration_id,parameter_hash,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak,positive_folds,total_folds,positive_fold_share,top_1_fold_positive_R_share,top_2_fold_positive_R_share,verdict
T2,T2_M15_candidate_v1,T2-M15-0014-26fb9b19bd4f,26fb9b19bd4fca7805d88d08817831d516d5de51b118bfd428d8626e593da317,128,1.17656026773,0.0875435049263,11.2055686306,-9.8089978756,1.14237649683,0.3828125,-0.5610628044,9,7,2,3,0.666666666667,0.407491362847,0.721545983939,WALK_FORWARD_BORDERLINE
T3,T3_M15_candidate_v1,T3-M15-0011-76dd2f3526c3,76dd2f3526c38a3c7abfd3117d2a9ea4a78d0954c868bd01260736011726ba69,160,0.926554084295,-0.042312840286,-6.77005444576,-31.3013677528,-0.216286217881,0.3125,-0.740692884213,12,4,1,3,0.333333333333,0.422502881468,0.793015123914,WALK_FORWARD_FAIL
