direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
LONG,32,2.42437643619,0.491861033177,15.7395530617,-3.97551663417,3.95912141994,0.53125
SHORT,9,0.120095392261,-0.200329570613,-1.80296613552,-1.95638344545,-0.921581165346,0.333333333333
