direction,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,7,4.50606207962,1.69995211259,11.8996647881,-2.39318884626,4.97230496737,0.285714285714,2,4
SHORT,7,0.240029708424,-0.400709183858,-2.804964287,-3.13998763726,-0.893304245443,0.285714285714,1,4
