trade_id,strategy_id,symbol,direction,entry_time,exit_time,gross_R,initial_risk_ticks,MAE_R,MFE_R,instrument,strategy,timeframe,net_R,fold,fold_start_state,entry_price,initial_stop,initial_risk,exit_price,exit_reason,bars_held,gross_profit,MAE_points,MFE_points,profit_points,profit_R,quantity,costs,net_profit,tick_size,cost_R,initial_risk_points
T3-H4-WF02-000001,T3_MTF_Trend_v1.0,CNY,SHORT,2024-05-24 12:00:00+03:00,2024-05-29 16:00:00+03:00,0.355692188595,96.7640255084,0.0310032575044,2.09788709113,CNYRUBF,T3,H4,0.335023350259,WF02,FLAT,12.343,12.4397640255,0.0967640255084,12.308581792,ATR_TRAILING_STOP,10,355.692188595,0.003,0.203,0.0344182080103,0.355692188595,10334.4191681,0,355.692188595,0.001,0,0.0967640255084
T3-H4-WF02-000002,T3_MTF_Trend_v1.0,CNY,SHORT,2024-06-10 21:00:00+03:00,2024-06-13 14:00:00+03:00,-1,128.640963754,1,0.0466414416131,CNYRUBF,T3,H4,-1.0155471472,WF02,FLAT,12.177,12.3056409638,0.128640963754,12.3056409638,ATR_TRAILING_STOP,4,-1003.55692189,0.128640963754,0.006,-0.128640963754,-1,7801.22359626,0,-1003.55692189,0.001,0,0.128640963754
T3-H4-WF02-000003,T3_MTF_Trend_v1.0,CNY,SHORT,2024-06-13 14:00:00+03:00,2024-06-13 18:00:00+03:00,-1,203.351066373,1,0,CNYRUBF,T3,H4,-1.00983520783,WF02,FLAT,11.996,12.1993510664,0.203351066373,12.1993510664,ATR_TRAILING_STOP,1,-993.521352667,0.203351066373,0,-0.203351066373,-1,4885.74449295,0,-993.521352667,0.001,0,0.203351066373
T3-H4-WF02-000004,T3_MTF_Trend_v1.0,Si,SHORT,2024-06-13 14:00:00+03:00,2024-06-13 18:00:00+03:00,-1,1493.15471279,1,0,USDRUBF,T3,H4,-1.00133944593,WF02,FLAT,88.05,89.5431547128,1.49315471279,89.5431547128,ATR_TRAILING_STOP,1,-1000,1.49315471279,0,-1.49315471279,-1,669.722964026,0,-1000,0.001,0,1.49315471279
T3-H4-WF02-000005,T3_MTF_Trend_v1.0,CNY,SHORT,2024-06-18 21:00:00+03:00,2024-06-20 13:00:00+03:00,-0.102546441487,284.360647335,0.256716253406,1.69503060468,CNYRUBF,T3,H4,-0.109579763498,WF02,FLAT,11.327,11.6113606473,0.284360647335,11.3561601725,ATR_TRAILING_STOP,4,-100.863258464,0.073,0.482,-0.029160172483,-0.102546441487,3458.93902113,0,-100.863258464,0.001,0,0.284360647335
T3-H4-WF02-000006,T3_MTF_Trend_v1.0,Si,SHORT,2024-06-18 21:00:00+03:00,2024-06-20 13:00:00+03:00,0.551858343799,2085.02463078,0,2.24457780062,USDRUBF,T3,H4,0.550899122516,WF02,FLAT,85.25,87.3350246308,2.08502463078,84.0993617605,ATR_TRAILING_STOP,4,546.339760361,0,4.68,1.15063823952,0.551858343799,474.814534746,0,546.339760361,0.001,0,2.08502463078
T3-H4-WF03-000001,T3_MTF_Trend_v1.0,CNY,SHORT,2024-08-22 21:00:00+03:00,2024-08-29 13:00:00+03:00,-0.543013641742,172.837638994,0.543013641742,1.13979802748,CNYRUBF,T3,H4,-0.55458519532,WF03,FLAT,11.83,12.002837639,0.172837638994,11.9238531958,ATR_TRAILING_STOP,13,-543.013641742,0.0938531957801,0.197,-0.0938531957801,-0.543013641742,5785.77678925,0,-543.013641742,0.001,0,0.172837638994
T3-H4-WF03-000002,T3_MTF_Trend_v1.0,Si,LONG,2024-08-26 14:00:00+03:00,2024-09-02 14:00:00+03:00,-0.367163485329,1384.03375158,0.367163485329,0.845355106888,USDRUBF,T3,H4,-0.368608536794,WF03,FLAT,90.36,88.9759662484,1.38403375158,89.851833344,ATR_TRAILING_STOP,15,-367.163485329,0.508166656042,1.17,-0.508166656042,-0.367163485329,722.525732383,0,-367.163485329,0.001,0,1.38403375158
T3-H4-WF04-000001,T3_MTF_Trend_v1.0,CNY,LONG,2024-10-03 13:00:00+03:00,2024-10-10 21:00:00+03:00,0.00338410199875,176.525420772,0.827076346065,1.34824774222,CNYRUBF,T3,H4,-0.00794571096105,WF04,FLAT,13.49,13.3134745792,0.176525420772,13.49059738,ATR_TRAILING_STOP,17,3.38410199875,0.146,0.238,0.000597380029266,0.00338410199875,5664.9064799,0,3.38410199875,0.001,0,0.176525420772
T3-H4-WF04-000002,T3_MTF_Trend_v1.0,Si,LONG,2024-10-15 21:00:00+03:00,2024-10-18 13:00:00+03:00,-1,1083.46611854,1,0.23074094863,USDRUBF,T3,H4,-1.00184592759,WF04,FLAT,96.95,95.8665338815,1.08346611854,95.8665338815,ATR_TRAILING_STOP,7,-1000,1.08346611854,0.25,-1.08346611854,-1,922.96379452,0,-1000,0.001,0,1.08346611854
