year,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor,win_rate,max_winning_streak,max_losing_streak
2023,0,,,0,0,,,0,0
2024,14,2.28367154267,0.649621464365,9.09470050111,-5.53317648352,1.64366716446,0.285714285714,2,5
