scope,variant,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
T2,BASELINE,830,0.302409638554,1.10572933392,0.061035668028,50.6596044632,-56.4226125007,0.897859957523,121.120481928,18,0.0276197293864,0.115286672292
T2,SESSION_CANDIDATE,535,0.302803738318,1.31571708924,0.173611399447,92.8820987044,-23.4212239618,3.9657235188,77.9252336449,16,0.0378040303675,0.157796653229
T3,BASELINE,1131,0.374889478338,1.15749204634,0.0773919100962,87.5302503188,-42.6941794806,2.05016822864,101.41025641,15,0.0255810949338,0.0805446477669
T3,SESSION_CANDIDATE,814,0.384520884521,1.28778699992,0.138922442491,113.082868188,-24.3146215479,4.65081753235,78.7162162162,14,0.0325212334836,0.098998345954
COMBINED,BASELINE,1961,0.344212136665,1.1335270944,0.0704690743406,138.189854782,-46.8584781428,2.94908969004,109.752677206,17,0.0140280731619,0.057776204721
COMBINED,SESSION_CANDIDATE,1349,0.352112676056,1.29974518048,0.152679738245,205.964966892,-34.0692462804,6.04548058378,78.4025203855,15,0.0184262655717,0.075890657229
