year,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
2023,105,2.51524312743,0.540441630465,56.7463711988,-6.86381005839,8.26747400001,0.504761904762,1224.85714286,9,8,0.521928085304,1.9568792597
2024,85,2.26680883573,0.51817718345,44.0450605932,-8.94922459666,4.92166221972,0.447058823529,1330.23529412,4,6,0.605299516156,1.8422251891
