trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe,net_R,year
T3-M30-Si-000001,T3,Si,LONG,2023-01-30 18:30:00+03:00,70.31,70.0556475184,0.254352481573,2023-01-31 10:00:00+03:00,70.5710808297,ATR_TRAILING_STOP,13,1026.45285042,1.02645285042,0.01,0.59,0.0393155196999,2.31961566229,0.261080829721,1.02645285042,3931.55196999,0,1026.45285042,0.001,254.352481573,0,T3_MTF_Trend_v1.0,0.254352481573,USDRUBF,M30,1.01858974648,2023
T3-M30-CNY-000001,T3,CNY,LONG,2023-01-30 14:30:00+03:00,10.35,10.3096466529,0.0403533470837,2023-01-31 10:30:00+03:00,10.42,ATR_TRAILING_STOP,22,1734.67642857,1.73467642857,0.02,0.14,0.495621836735,3.46935285714,0.07,1.73467642857,24781.0918367,0,1734.67642857,0.001,40.3533470837,0,T3_MTF_Trend_v1.0,0.0403533470837,CNYRUBF,M30,1.6851142449,2023
T3-M30-Si-000002,T3,Si,LONG,2023-02-02 17:00:00+03:00,70.31,70.0274720622,0.28252793785,2023-02-02 22:30:00+03:00,70.2131377271,ATR_TRAILING_STOP,11,-346.36050212,-0.34284139683,0.1,0.28,0.353947297252,0.991052432304,-0.096862272856,-0.34284139683,3575.80399373,0,-346.36050212,0.001,282.52793785,0,T3_MTF_Trend_v1.0,0.28252793785,USDRUBF,M30,-0.349920342775,2023
T3-M30-Si-000003,T3,Si,LONG,2023-02-08 10:30:00+03:00,71.5,71.2525741723,0.247425827713,2023-02-09 15:00:00+03:00,72.7169808468,ATR_TRAILING_STOP,39,4952.01916373,4.91856835669,0.02,1.7,0.080832305119,6.87074593511,1.21698084682,4.91856835669,4069.10197205,0,4952.01916373,0.001,247.425827713,0,T3_MTF_Trend_v1.0,0.247425827713,USDRUBF,M30,4.91048512618,2023
T3-M30-CNY-000002,T3,CNY,LONG,2023-02-08 19:30:00+03:00,10.68,10.6235817282,0.0564182717575,2023-02-10 09:30:00+03:00,10.7383542517,ATR_TRAILING_STOP,40,1052.25678267,1.03431476819,0.02,0.12,0.354495084251,2.12697050551,0.0583542516746,1.03431476819,18032.2213459,0,1052.25678267,0.001,56.4182717575,0,T3_MTF_Trend_v1.0,0.0564182717575,CNYRUBF,M30,0.998865259765,2023
T3-M30-CNY-000003,T3,CNY,LONG,2023-02-10 20:00:00+03:00,10.78,10.7337148249,0.0462851751464,2023-02-10 23:00:00+03:00,10.7337148249,ATR_TRAILING_STOP,6,-1027.86933211,-1,0.0462851751464,0.02,1,0.432103798608,-0.0462851751464,-1,22207.3121439,0,-1027.86933211,0.001,46.2851751464,0,T3_MTF_Trend_v1.0,0.0462851751464,CNYRUBF,M30,-1.04321037986,2023
T3-M30-Si-000004,T3,Si,LONG,2023-02-10 17:30:00+03:00,73.17,72.8777946532,0.292205346755,2023-02-10 23:30:00+03:00,73.1580177023,ATR_TRAILING_STOP,12,-43.3159565229,-0.0410064287297,0.07,0.43,0.239557560385,1.47156787093,-0.0119822977261,-0.0410064287297,3614.99584744,0,-43.3159565229,0.001,292.205346755,0,T3_MTF_Trend_v1.0,0.292205346755,USDRUBF,M30,-0.047850930455,2023
T3-M30-Si-000005,T3,Si,LONG,2023-02-13 11:30:00+03:00,73.65,73.3076567543,0.342343245653,2023-02-13 20:30:00+03:00,73.4704604152,ATR_TRAILING_STOP,18,-553.753250588,-0.524443192741,0.179539584764,0.2,0.524443192741,0.584208984811,-0.179539584764,-0.524443192741,3084.29615294,0,-553.753250588,0.001,342.343245653,0,T3_MTF_Trend_v1.0,0.342343245653,USDRUBF,M30,-0.530285282589,2023
T3-M30-CNY-000004,T3,CNY,LONG,2023-02-15 12:00:00+03:00,10.84,10.7921286531,0.0478713469168,2023-02-15 17:30:00+03:00,10.8359365284,ATR_TRAILING_STOP,11,-86.3763173878,-0.0848831682359,0.01,0.07,0.208893224111,1.46225256878,-0.00406347159402,-0.0848831682359,21256.7789363,0,-86.3763173878,0.001,47.8713469168,0,T3_MTF_Trend_v1.0,0.0478713469168,CNYRUBF,M30,-0.126661813058,2023
T3-M30-Si-000006,T3,Si,LONG,2023-02-15 11:30:00+03:00,73.99,73.7062162616,0.283783738372,2023-02-17 11:00:00+03:00,74.8475739943,ATR_TRAILING_STOP,59,3174.08323982,3.02192789203,0,1.15,0,4.05238160086,0.857573994291,3.02192789203,3701.23541636,0,3174.08323982,0.001,283.783738372,0,T3_MTF_Trend_v1.0,0.283783738372,USDRUBF,M30,3.01488027186,2023
T3-M30-Si-000007,T3,Si,LONG,2023-02-28 14:00:00+03:00,74.99,74.5595543388,0.430445661206,2023-03-01 16:30:00+03:00,74.9555172656,ATR_TRAILING_STOP,35,-86.685657982,-0.0801093785257,0.3,0.36,0.696952082546,0.836342499055,-0.0344827344083,-0.0801093785257,2513.88584663,0,-86.685657982,0.001,430.445661206,0,T3_MTF_Trend_v1.0,0.430445661206,USDRUBF,M30,-0.0847557257427,2023
T3-M30-CNY-000005,T3,CNY,LONG,2023-03-17 09:30:00+03:00,11.14,11.0906770059,0.0493229941475,2023-03-20 09:30:00+03:00,11.1818615085,ATR_TRAILING_STOP,30,862.918432112,0.848721965363,0.04,0.12,0.810980774613,2.43294232384,0.0418615085305,0.848721965363,20613.648729,0,862.918432112,0.001,49.3229941475,0,T3_MTF_Trend_v1.0,0.0493229941475,CNYRUBF,M30,0.808172926633,2023
T3-M30-CNY-000006,T3,CNY,LONG,2023-03-20 11:00:00+03:00,11.3,11.2275284004,0.0724715995915,2023-03-20 13:00:00+03:00,11.2275284004,ATR_TRAILING_STOP,4,-1025.35605994,-1,0.0724715995915,0,1,0,-0.0724715995915,-1,14148.3845495,0,-1025.35605994,0.001,72.4715995915,0,T3_MTF_Trend_v1.0,0.0724715995915,CNYRUBF,M30,-1.02759701747,2023
T3-M30-Si-000008,T3,Si,LONG,2023-03-17 15:00:00+03:00,76.9,76.5822282049,0.317771795058,2023-03-20 13:00:00+03:00,77.3401715579,ATR_TRAILING_STOP,26,1497.69185137,1.38518133048,0.08,0.92,0.251752991436,2.89515940152,0.440171557867,1.38518133048,3402.51846036,0,1497.69185137,0.001,317.771795058,0,T3_MTF_Trend_v1.0,0.317771795058,USDRUBF,M30,1.37888750569,2023
T3-M30-CNY-000007,T3,CNY,LONG,2023-03-21 09:30:00+03:00,11.23,11.1834091089,0.0465908911051,2023-03-21 10:30:00+03:00,11.1834091089,ATR_TRAILING_STOP,2,-1015.10249934,-1,0.0465908911051,0.02,1,0.429268458396,-0.0465908911051,-1,21787.5742503,0,-1015.10249934,0.001,46.5908911051,0,T3_MTF_Trend_v1.0,0.0465908911051,CNYRUBF,M30,-1.04292684584,2023
T3-M30-Si-000009,T3,Si,LONG,2023-03-24 16:30:00+03:00,76.83,76.5241552035,0.305844796541,2023-03-27 09:30:00+03:00,76.9144189697,ATR_TRAILING_STOP,16,302.57237281,0.276018983021,0.09,0.41,0.29426689948,1.34054920874,0.0844189697034,0.276018983021,3584.17514302,0,302.57237281,0.001,305.844796541,0,T3_MTF_Trend_v1.0,0.305844796541,USDRUBF,M30,0.269479718588,2023
T3-M30-Si-000010,T3,Si,LONG,2023-04-03 14:00:00+03:00,78.2,77.8828434481,0.31715655193,2023-04-04 10:30:00+03:00,79.2464483011,ATR_TRAILING_STOP,23,3626.86585746,3.29946928325,0.01,1.6,0.0315301700033,5.04482720052,1.04644830108,3.29946928325,3465.88154784,0,3626.86585746,0.001,317.15655193,0,T3_MTF_Trend_v1.0,0.31715655193,USDRUBF,M30,3.29316324925,2023
T3-M30-CNY-000008,T3,CNY,LONG,2023-04-03 18:00:00+03:00,11.44,11.3793982258,0.0606017742412,2023-04-04 15:00:00+03:00,11.5121912126,ATR_TRAILING_STOP,24,1197.13764929,1.19123925866,0.01,0.15,0.165011670454,2.47517505681,0.0721912126208,1.19123925866,16582.8721507,0,1197.13764929,0.001,60.6017742412,0,T3_MTF_Trend_v1.0,0.0606017742412,CNYRUBF,M30,1.15823692457,2023
T3-M30-CNY-000009,T3,CNY,LONG,2023-04-05 18:00:00+03:00,11.6,11.5524008322,0.0475991677633,2023-04-06 16:30:00+03:00,11.6965944832,ATR_TRAILING_STOP,27,2063.67341712,2.02933134546,0.03,0.19,0.630263120338,3.99166642881,0.0965944831599,2.02933134546,21364.2989704,0,2063.67341712,0.001,47.5991677633,0,T3_MTF_Trend_v1.0,0.0475991677633,CNYRUBF,M30,1.9873138041,2023
T3-M30-Si-000011,T3,Si,LONG,2023-04-05 10:30:00+03:00,79.65,79.3511089609,0.298891039133,2023-04-06 16:30:00+03:00,80.5701241297,ATR_TRAILING_STOP,42,3495.57817299,3.07846007163,0.27,1.45,0.903339226172,4.85126621463,0.920124129738,3.07846007163,3799.02891361,0,3495.57817299,0.001,298.891039133,0,T3_MTF_Trend_v1.0,0.298891039133,USDRUBF,M30,3.07176866996,2023
